variant,bench_type,input_len,output_len,batch_size,round,returncode,elapsed_s,benchmark_duration_s,input_throughput_tok_s,mean_itl_ms,mean_tpot_ms,mean_ttft_ms,median_itl_ms,median_tpot_ms,median_ttft_ms,output_throughput_tok_s,p99_itl_ms,p99_tpot_ms,p99_ttft_ms,request_throughput_req_s,successful_requests,total_generated_tokens,total_input_tokens
flashinfer_mxfp4a16,tpot,65536,1024,1,2,0,28.13,9.69,6760.08,5.17,5.17,4393.8,4.89,5.17,4393.8,105.63,13.85,5.17,4393.8,0.1,1,1024,65536
flashinfer_mxfp4a16,tpot,65536,1024,1,3,0,31.006,10.1,6485.53,5.58,5.58,4393.63,4.93,5.58,4393.63,101.34,19.92,5.58,4393.63,0.1,1,1024,65536
flashinfer_mxfp4a16,tpot,65536,1024,4,1,0,43.925,24.89,10532.76,13.09,13.09,11092.39,6.26,12.88,11122.89,164.57,21.17,19.15,17274.07,0.16,4,4096,262144
flashinfer_mxfp4a16,tpot,65536,1024,4,2,0,44.874,24.52,10691.58,12.71,12.71,11096.11,6.23,12.75,11137.83,167.06,15.95,18.28,17256.95,0.16,4,4096,262144
flashinfer_mxfp4a16,tpot,65536,1024,4,3,0,43.694,24.52,10689.76,12.74,12.74,11103.89,6.24,12.54,11130.64,167.03,16.42,18.81,17299.22,0.16,4,4096,262144
flashinfer_mxfp4a16,tpot,65536,1024,8,1,0,61.967,43.52,12047.08,22.34,22.34,19894.98,7.67,22.07,20209.52,188.24,18.62,36.05,34171.21,0.18,8,8192,524288
flashinfer_mxfp4a16,tpot,65536,1024,8,2,0,63.495,44.14,11877.03,22.76,22.76,19923.77,7.69,22.81,20018.36,185.58,24.28,36.34,34267.1,0.18,8,8192,524288
flashinfer_mxfp4a16,tpot,65536,1024,8,3,0,64.421,44.17,11871.03,22.97,22.97,19950.76,7.72,22.74,20248.55,185.48,23.71,37.28,34277.22,0.18,8,8192,524288
flashinfer_mxfp4a16,tpot,131072,1024,1,1,0,38.542,14.58,8987.62,5.36,5.36,9077,5.08,5.36,9077,70.22,10.89,5.36,9077,0.07,1,1024,131072
flashinfer_mxfp4a16,tpot,131072,1024,1,2,0,38.385,14.62,8964.2,5.43,5.43,9062.83,5.09,5.43,9062.83,70.03,14.91,5.43,9062.83,0.07,1,1024,131072
flashinfer_mxfp4a16,tpot,131072,1024,1,3,0,38.855,14.93,8780.84,5.73,5.73,9056.81,5.1,5.73,9056.81,68.6,18.56,5.73,9056.81,0.07,1,1024,131072
flashinfer_mxfp4a16,tpot,131072,1024,4,1,0,68.315,43.33,12100.36,19.66,19.66,22624.43,6.54,19.37,22635.08,94.53,13.06,32.28,35549.78,0.09,4,4096,524288
flashinfer_mxfp4a16,tpot,131072,1024,4,2,0,69.141,44.02,11909.74,20.28,20.28,22594.16,6.57,20.36,22585.75,93.04,21.97,32.19,35576.26,0.09,4,4096,524288
flashinfer_mxfp4a16,tpot,131072,1024,4,3,0,69.196,44.64,11744.94,20.82,20.82,22810.5,6.61,20.62,22951.59,91.76,24.12,33.6,35665.41,0.09,4,4096,524288
flashinfer_mxfp4a16,tpot,131072,1024,8,1,0,105.647,81.41,12879.8,39.04,39.04,40687.53,8.28,39.25,41005,100.62,21.21,68.7,70814.21,0.1,8,8192,1048576
flashinfer_mxfp4a16,tpot,131072,1024,8,2,0,108.794,84.2,12453.04,41.63,41.63,40817.68,8.28,41.63,40480.18,97.29,22.78,71.36,73454.65,0.1,8,8192,1048576
flashinfer_mxfp4a16,tpot,131072,1024,8,3,0,106.601,81.42,12879.15,38.73,38.73,40831.91,8.29,38.67,40999.71,100.62,22.16,67.8,70713.28,0.1,8,8192,1048576
