workload,model_id,scenario,compress_ratio,batch_size,s_q,seq_len_target,seq_len_mean,seq_len_min,seq_len_max,h_q,h_kv,d_qk,d_v,primary_topk,primary_topk_avg,primary_unique_tokens,extra_topk,extra_topk_avg,extra_unique_tokens,primary_block_size,extra_block_size,time_us,splitkv_us,combine_us,tflops,gbps,correct,device
dsv4-flash,sgl-project/DeepSeek-V4-Flash-FP8,swa,0,128,1,32768,34735.9,1,65536,64,1,512,512,128,125.0,16003,0,0.0,0,256,0,39.3,0.0,0.0,53.4,665,1,NVIDIA H20
dsv4-flash,sgl-project/DeepSeek-V4-Flash-FP8,c4,4,1,1,4096,8192.0,8192,8192,64,1,512,512,128,128.0,128,512,512.0,512,256,64,21.6,0.0,0.0,3.9,23,1,NVIDIA H20
dsv4-flash,sgl-project/DeepSeek-V4-Flash-FP8,c4,4,1,1,32768,1.0,1,1,64,1,512,512,128,1.0,1,512,1.0,1,256,64,18.5,0.0,0.0,0.0,7,1,NVIDIA H20
dsv4-flash,sgl-project/DeepSeek-V4-Flash-FP8,c4,4,32,1,4096,3955.5,1,8176,64,1,512,512,128,124.0,3969,512,439.3,14058,256,64,46.9,0.0,0.0,50.4,314,1,NVIDIA H20
dsv4-flash,sgl-project/DeepSeek-V4-Flash-FP8,c4,4,32,1,32768,30077.0,1,58699,64,1,512,512,128,120.1,3842,512,480.1,15362,256,64,47.5,0.0,0.0,53.0,325,1,NVIDIA H20
dsv4-flash,sgl-project/DeepSeek-V4-Flash-FP8,c4,4,128,1,4096,4128.7,110,8192,64,1,512,512,128,127.9,16366,512,487.7,62429,256,64,245.0,0.0,0.0,42.1,256,1,NVIDIA H20
dsv4-flash,sgl-project/DeepSeek-V4-Flash-FP8,c4,4,128,1,32768,33501.2,1,65536,64,1,512,512,128,124.0,15876,512,496.0,63492,256,64,122.1,0.0,0.0,85.2,517,1,NVIDIA H20
dsv4-flash,sgl-project/DeepSeek-V4-Flash-FP8,c128,128,1,1,4096,4289.0,4289,4289,64,1,512,512,128,128.0,128,1024,34.0,34,256,2,21.5,0.0,0.0,1.0,10,1,NVIDIA H20
dsv4-flash,sgl-project/DeepSeek-V4-Flash-FP8,c128,128,1,1,32768,23240.0,23240,23240,64,1,512,512,128,128.0,128,1024,182.0,182,256,2,21.0,0.0,0.0,1.9,15,1,NVIDIA H20
dsv4-flash,sgl-project/DeepSeek-V4-Flash-FP8,c128,128,32,1,4096,4379.2,1,7430,64,1,512,512,128,124.0,3969,1024,34.7,1111,256,2,27.1,0.0,0.0,24.6,264,1,NVIDIA H20
dsv4-flash,sgl-project/DeepSeek-V4-Flash-FP8,c128,128,32,1,32768,32791.7,1,65536,64,1,512,512,128,124.0,3969,1024,256.8,8216,256,2,42.4,0.0,0.0,37.7,267,1,NVIDIA H20
dsv4-flash,sgl-project/DeepSeek-V4-Flash-FP8,c128,128,128,1,4096,4295.8,1,8192,64,1,512,512,128,125.0,16003,1024,34.1,4366,256,2,49.1,0.0,0.0,54.3,583,1,NVIDIA H20
dsv4-flash,sgl-project/DeepSeek-V4-Flash-FP8,c128,128,128,1,32768,34288.9,1,65536,64,1,512,512,128,126.0,16130,1024,268.4,34353,256,2,101.2,0.0,0.0,65.4,457,1,NVIDIA H20
