q_len	kv_len	dtype	batch_size	q_head	kv_head	head_dim	latency_ms	std_ms	tflops	gbs	mfu_mbu_pct	predicted_split_speedup_pct
8192	8192	nvfp4	1	64	4	128	1.2768	0.0017	430.5624	1735.3671	9.5681	0.0000
16384	16384	nvfp4	1	64	4	128	2.4996	0.0026	439.8666	1772.3954	9.7748	0.0000
32768	32768	nvfp4	1	64	4	128	4.6490	0.0387	473.0140	1905.7057	10.5114	0.0000
65536	65536	nvfp4	1	64	4	128	8.9611	0.0898	490.7920	1977.1992	10.9065	0.0000
131072	131072	nvfp4	1	64	4	128	18.0629	0.1807	486.9711	1961.7409	10.8216	0.0000
