q_len	kv_len	dtype	batch_size	q_head	kv_head	head_dim	latency_ms	std_ms	tflops	gbs	mfu_mbu_pct	predicted_split_speedup_pct
8192	8192	fp8	1	64	4	128	0.7239	0.0015	1519.1500	289.7195	33.7589	0.0000
16384	16384	fp8	1	64	4	128	2.7713	0.0247	1587.1151	151.3498	35.2692	0.0000
8192	8192	fp8	1	16	1	128	0.2048	0.0010	1342.5509	256.0400	29.8345	0.0000
16384	16384	fp8	1	16	1	128	0.6983	0.0043	1574.5697	150.1535	34.9904	0.0000
4	8192	fp8	32	64	4	128	0.0655	0.0007	524.1920	4144.0000	51.8000	-8.3287
4	131072	fp8	32	64	4	128	0.7987	0.0142	688.2744	5381.1434	67.2643	12.4786
8	8192	fp8	32	64	4	128	0.0677	0.0011	1013.9660	4055.3688	50.6921	-8.3287
8	8192	fp8	32	64	4	128	0.1147	0.0009	149.7548	639.8215	7.9978	-4.2943
8	131072	fp8	32	64	4	128	0.8653	0.0227	1270.6195	4970.7607	62.1345	12.4786
8	131072	fp8	32	64	4	128	0.1148	0.0105	149.6713	639.4647	7.9933	-4.2943
