trace: fused_rank2.json
with_stack: 1
record_shapes: 1
python_function_events: 331

timestamp_us	duration_us	function
7311464293328.844	4156.398	<string>(1): <module>
7311464293330.294	4154.948	multiprocessing/spawn.py(122): spawn_main
7311464293331.956	4153.286	multiprocessing/spawn.py(135): _main
7311464293333.153	4152.089	multiprocessing/process.py(314): _bootstrap
7311464293334.87	4150.372	multiprocessing/process.py(108): run
7311464293335.476	4149.766	torch/multiprocessing/spawn.py(87): _wrap
7311464293340.224	4145.018	profile_mega_moe_torch.py(336): test
7311464293343.894	4141.348	profile_mega_moe_torch.py(285): _profile_one
7311464293346.365	693.887	torch/profiler/profiler.py(898): step
7311464293346.835	611.766	torch/profiler/profiler.py(932): _transit_action
7311464293347.259	610.183	torch/profiler/profiler.py(241): start_trace
7311464293347.619	396.638	torch/autograd/profiler.py(398): _start_trace
7311464293732.607	5.259	<built-in function perf_counter_ns>
7311464293752.667	15.745	torch/profiler/profiler.py(390): add_metadata_json
7311464293763.423	4.669	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a71cf810770>
7311464293771.817	2.075	torch/profiler/profiler.py(390): add_metadata_json
7311464293773.051	0.764	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a71cf810770>
7311464293774.622	0.745	torch/profiler/profiler.py(390): add_metadata_json
7311464293774.816	0.482	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a71cf810770>
7311464293780.292	0.612	<built-in method kineto_available of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a71cf8107b0>
7311464293782.364	131.033	torch/profiler/profiler.py(405): _get_distributed_info
7311464293789.283	6.874	torch/distributed/__init__.py(17): is_available
7311464293795.014	1.013	<built-in function hasattr>
7311464293797.908	3.377	torch/distributed/distributed_c10d.py(1340): is_initialized
7311464293799.617	1.456	torch/distributed/distributed_c10d.py(765): WORLD
7311464293800.63	0.323	torch/distributed/distributed_c10d.py(636): default_pg
7311464293804.056	30.558	torch/distributed/distributed_c10d.py(1417): get_backend
7311464293808.065	2.732	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311464293808.595	0.949	torch/distributed/distributed_c10d.py(1340): is_initialized
7311464293808.939	0.523	torch/distributed/distributed_c10d.py(765): WORLD
7311464293809.212	0.16	torch/distributed/distributed_c10d.py(636): default_pg
7311464293810.337	0.345	torch/distributed/distributed_c10d.py(765): WORLD
7311464293810.549	0.055	torch/distributed/distributed_c10d.py(636): default_pg
7311464293811.819	0.855	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311464293814.057	0.264	torch/distributed/distributed_c10d.py(650): pg_map
7311464293818.862	2.284	<built-in method get of dict object at 0x2a71cf134300>
7311464293822.702	0.15	torch/utils/_typing_utils.py(13): not_none
7311464293825.852	8.286	torch/distributed/distributed_c10d.py(320): __new__
7311464293827.0	0.234	<built-in function isinstance>
7311464293829.972	0.458	<built-in method upper of str object at 0x2a7104f94990>
7311464293831.597	2.235	<built-in function getattr>
7311464293836.062	10.095	torch/distributed/distributed_c10d.py(2476): get_rank
7311464293836.49	0.124	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311464293837.193	1.962	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311464293837.527	0.86	torch/distributed/distributed_c10d.py(1340): is_initialized
7311464293837.828	0.424	torch/distributed/distributed_c10d.py(765): WORLD
7311464293838.042	0.109	torch/distributed/distributed_c10d.py(636): default_pg
7311464293838.747	0.293	torch/distributed/distributed_c10d.py(765): WORLD
7311464293838.894	0.068	torch/distributed/distributed_c10d.py(636): default_pg
7311464293843.665	2.426	<built-in method rank of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a71cf0f2df0>
7311464293847.19	10.037	torch/distributed/distributed_c10d.py(2503): get_world_size
7311464293849.537	0.12	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311464293851.452	5.582	torch/distributed/distributed_c10d.py(1139): _get_group_size
7311464293852.094	0.438	torch/distributed/distributed_c10d.py(765): WORLD
7311464293852.338	0.074	torch/distributed/distributed_c10d.py(636): default_pg
7311464293853.179	1.644	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311464293853.417	0.64	torch/distributed/distributed_c10d.py(1340): is_initialized
7311464293853.62	0.287	torch/distributed/distributed_c10d.py(765): WORLD
7311464293853.764	0.066	torch/distributed/distributed_c10d.py(636): default_pg
7311464293854.386	0.312	torch/distributed/distributed_c10d.py(765): WORLD
7311464293854.565	0.054	torch/distributed/distributed_c10d.py(636): default_pg
7311464293856.471	0.476	<built-in method size of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a71cf0f2e10>
7311464293858.265	2.032	torch/distributed/distributed_c10d.py(1501): get_pg_count
7311464293859.898	0.303	torch/distributed/distributed_c10d.py(693): group_count
7311464293861.271	30.999	torch/distributed/distributed_c10d.py(1492): _get_all_pg_configs
7311464293861.734	0.107	torch/distributed/distributed_c10d.py(650): pg_map
7311464293867.825	16.536	torch/distributed/distributed_c10d.py(1477): _get_pg_config
7311464293868.792	1.664	torch/distributed/distributed_c10d.py(5863): _get_process_group_name
7311464293869.442	0.12	torch/distributed/distributed_c10d.py(663): pg_names
7311464293869.909	0.438	<built-in method get of dict object at 0x2a71cf134300>
7311464293872.647	3.05	torch/distributed/distributed_c10d.py(1397): get_backend_config
7311464293872.941	0.221	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311464293873.832	0.237	torch/distributed/distributed_c10d.py(683): pg_backend_config
7311464293874.509	0.162	<built-in method get of dict object at 0x2a71cf134300>
7311464293875.254	0.087	torch/utils/_typing_utils.py(13): not_none
7311464293876.15	2.806	torch/distributed/distributed_c10d.py(1139): _get_group_size
7311464293876.446	0.303	torch/distributed/distributed_c10d.py(765): WORLD
7311464293876.62	0.074	torch/distributed/distributed_c10d.py(636): default_pg
7311464293877.1	1.229	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311464293877.292	0.488	torch/distributed/distributed_c10d.py(1340): is_initialized
7311464293877.443	0.234	torch/distributed/distributed_c10d.py(765): WORLD
7311464293877.572	0.043	torch/distributed/distributed_c10d.py(636): default_pg
7311464293878.013	0.231	torch/distributed/distributed_c10d.py(765): WORLD
7311464293878.147	0.04	torch/distributed/distributed_c10d.py(636): default_pg
7311464293878.662	0.245	<built-in method size of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a71cf0f2e10>
7311464293879.832	3.539	torch/distributed/distributed_c10d.py(1125): get_process_group_ranks
7311464293880.66	0.096	torch/distributed/distributed_c10d.py(673): pg_group_ranks
7311464293882.053	0.241	<built-in method keys of dict object at 0x2a71d0f33580>
7311464293885.081	6.951	torch/distributed/distributed_c10d.py(1477): _get_pg_config
7311464293885.384	0.897	torch/distributed/distributed_c10d.py(5863): _get_process_group_name
7311464293885.571	0.068	torch/distributed/distributed_c10d.py(663): pg_names
7311464293885.854	0.354	<built-in method get of dict object at 0x2a71cf134300>
7311464293886.956	1.725	torch/distributed/distributed_c10d.py(1397): get_backend_config
7311464293887.196	0.115	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311464293887.585	0.07	torch/distributed/distributed_c10d.py(683): pg_backend_config
7311464293887.911	0.116	<built-in method get of dict object at 0x2a71cf134300>
7311464293888.412	0.079	torch/utils/_typing_utils.py(13): not_none
7311464293888.931	1.403	torch/distributed/distributed_c10d.py(1139): _get_group_size
7311464293889.116	0.247	torch/distributed/distributed_c10d.py(765): WORLD
7311464293889.256	0.042	torch/distributed/distributed_c10d.py(636): default_pg
7311464293890.018	0.239	<built-in method size of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a71cf0f2e10>
7311464293890.641	1.151	torch/distributed/distributed_c10d.py(1125): get_process_group_ranks
7311464293890.836	0.076	torch/distributed/distributed_c10d.py(673): pg_group_ranks
7311464293891.165	0.132	<built-in method keys of dict object at 0x2a71d0f33580>
7311464293896.067	8.615	torch/cuda/nccl.py(35): version
7311464293897.968	0.772	<built-in function _nccl_version>
7311464293900.754	1.275	<built-in function _nccl_version_suffix>
7311464293904.008	0.347	<built-in method decode of bytes object at 0xb380a8>
7311464293907.526	5.055	<built-in method join of str object at 0xb44e38>
7311464293909.462	0.678	torch/profiler/profiler.py(422): <genexpr>
7311464293910.583	0.252	torch/profiler/profiler.py(422): <genexpr>
7311464293911.043	0.277	torch/profiler/profiler.py(422): <genexpr>
7311464293911.529	0.106	torch/profiler/profiler.py(422): <genexpr>
7311464293917.34	27.671	json/__init__.py(183): dumps
7311464293921.57	1.311	json/encoder.py(105): __init__
7311464293925.539	19.047	json/encoder.py(183): encode
7311464293925.84	0.536	<built-in function isinstance>
7311464293928.526	13.976	json/encoder.py(205): iterencode
7311464293943.469	0.252	<built-in function isinstance>
7311464293944.237	0.255	<built-in method join of str object at 0xb44e38>
7311464293946.218	1.953	torch/profiler/profiler.py(390): add_metadata_json
7311464293946.765	1.299	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a71cf810770>
7311464293949.031	0.541	<built-in function hasattr>
7311464293952.875	0.521	<built-in function getattr>
7311464293956.633	0.331	<built-in method items of dict object at 0x2a74cc8d5000>
7311464293961.069	8.547	<frozen _collections_abc>(804): get
7311464293962.116	6.531	<frozen os>(680): __getitem__
7311464293963.268	3.163	<frozen os>(762): encode
