trace: legacy_rank1.json
with_stack: 1
record_shapes: 1
python_function_events: 405

timestamp_us	duration_us	function
7311463687026.527	1.392	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311463687026.707	0.706	torch/distributed/distributed_c10d.py(1340): is_initialized
7311463687026.949	0.373	torch/distributed/distributed_c10d.py(765): WORLD
7311463687027.209	0.049	torch/distributed/distributed_c10d.py(636): default_pg
7311463687027.597	0.236	torch/distributed/distributed_c10d.py(765): WORLD
7311463687027.722	0.053	torch/distributed/distributed_c10d.py(636): default_pg
7311463687028.255	0.244	<built-in method size of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a65915f2e10>
7311463687030.145	8.058	torch/distributed/distributed_c10d.py(1125): get_process_group_ranks
7311463687031.852	0.035	torch/distributed/distributed_c10d.py(673): pg_group_ranks
7311463687035.588	0.695	<built-in method keys of dict object at 0x2a65932485c0>
7311463687040.292	9.861	torch/distributed/distributed_c10d.py(1477): _get_pg_config
7311463687040.64	1.333	torch/distributed/distributed_c10d.py(5863): _get_process_group_name
7311463687041.083	0.035	torch/distributed/distributed_c10d.py(663): pg_names
7311463687041.442	0.202	<built-in method get of dict object at 0x2a659163dc80>
7311463687043.197	2.124	torch/distributed/distributed_c10d.py(1397): get_backend_config
7311463687043.468	0.175	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311463687043.993	0.033	torch/distributed/distributed_c10d.py(683): pg_backend_config
7311463687044.32	0.198	<built-in method get of dict object at 0x2a659163dc80>
7311463687045.063	0.077	torch/utils/_typing_utils.py(13): not_none
7311463687045.618	1.62	torch/distributed/distributed_c10d.py(1139): _get_group_size
7311463687045.878	0.237	torch/distributed/distributed_c10d.py(765): WORLD
7311463687046.003	0.041	torch/distributed/distributed_c10d.py(636): default_pg
7311463687046.94	0.223	<built-in method size of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a65915f2e10>
7311463687047.548	2.206	torch/distributed/distributed_c10d.py(1125): get_process_group_ranks
7311463687047.865	0.053	torch/distributed/distributed_c10d.py(673): pg_group_ranks
7311463687048.717	0.131	<built-in method keys of dict object at 0x2a65932485c0>
7311463687056.946	20.437	torch/cuda/nccl.py(35): version
7311463687059.587	7.483	<built-in function _nccl_version>
7311463687070.301	1.729	<built-in function _nccl_version_suffix>
7311463687076.255	0.423	<built-in method decode of bytes object at 0xb380a8>
7311463687081.342	6.485	<built-in method join of str object at 0xb44e38>
7311463687083.935	1.115	torch/profiler/profiler.py(422): <genexpr>
7311463687085.584	0.44	torch/profiler/profiler.py(422): <genexpr>
7311463687086.23	0.422	torch/profiler/profiler.py(422): <genexpr>
7311463687086.856	0.092	torch/profiler/profiler.py(422): <genexpr>
7311463687094.299	40.101	json/__init__.py(183): dumps
7311463687100.554	3.166	json/encoder.py(105): __init__
7311463687107.649	26.15	json/encoder.py(183): encode
7311463687107.979	0.879	<built-in function isinstance>
7311463687112.586	18.961	json/encoder.py(205): iterencode
7311463687132.502	0.28	<built-in function isinstance>
7311463687133.265	0.459	<built-in method join of str object at 0xb44e38>
7311463687135.657	1.944	torch/profiler/profiler.py(390): add_metadata_json
7311463687136.217	1.295	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a6591d10770>
7311463687138.427	0.668	<built-in function hasattr>
7311463687143.276	1.377	<built-in function getattr>
7311463687148.784	0.31	<built-in method items of dict object at 0x2a688eacbec0>
7311463687156.905	13.317	<frozen _collections_abc>(804): get
7311463687159.272	10.015	<frozen os>(680): __getitem__
7311463687161.972	4.94	<frozen os>(762): encode
7311463687162.292	0.082	<built-in function isinstance>
7311463687166.262	0.555	<built-in method encode of str object at 0x2a65924f4f30>
7311463687173.004	0.358	torch/_environment.py(4): is_fbcode
7311463687177.889	7.012	torch/autograd/profiler.py(841): __init__
7311463687181.097	2.062	typing.py(392): inner
7311463687184.675	0.072	torch/jit/__init__.py(129): annotate
7311463687195.905	89.253	torch/autograd/profiler.py(854): __enter__
7311463687201.292	83.418	torch/_ops.py(1263): __call__
7311463687203.352	81.316	<built-in method _record_function_enter_new of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a65921afcd0>
7311463687220.83	62.699	torch/utils/_device.py(110): __torch_function__
7311463687223.991	1.554	torch/_ops.py(1192): __hash__
7311463687225.242	0.232	<built-in function hash>
7311463687226.639	56.443	torch/_ops.py(1263): __call__
7311463687227.093	55.912	<built-in method _record_function_enter_new of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a65921afcd0>
7311463687299.471	60.848	profile_mega_moe_torch.py(238): _profile_barrier
7311463687301.587	58.525	deep_ep/buffers/elastic.py(368): barrier
7311463687304.771	55.213	<built-in method barrier of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a6831870a70>
7311463687363.814	2.495	torch/autograd/profiler.py(841): __init__
7311463687364.936	0.629	typing.py(392): inner
7311463687366.126	0.076	torch/jit/__init__.py(129): annotate
7311463687367.52	19.321	torch/autograd/profiler.py(854): __enter__
7311463687368.61	17.941	torch/_ops.py(1263): __call__
7311463687368.876	17.628	<built-in method _record_function_enter_new of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a65921afcd0>
7311463687375.264	10.68	torch/utils/_device.py(110): __torch_function__
7311463687376.03	0.386	torch/_ops.py(1192): __hash__
7311463687376.202	0.154	<built-in function hash>
7311463687377.025	8.617	torch/_ops.py(1263): __call__
7311463687377.251	8.323	<built-in method _record_function_enter_new of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a65921afcd0>
7311463687391.96	694.849	profile_mega_moe_torch.py(176): run_baseline
7311463687401.246	261.238	deep_ep/buffers/elastic.py(708): dispatch
