trace: fused_rank7.json
with_stack: 1
record_shapes: 1
python_function_events: 331

timestamp_us	duration_us	function
7311464293333.108	4151.551	<string>(1): <module>
7311464293334.385	4150.274	multiprocessing/spawn.py(122): spawn_main
7311464293336.167	4148.492	multiprocessing/spawn.py(135): _main
7311464293337.48	4147.179	multiprocessing/process.py(314): _bootstrap
7311464293339.529	4145.13	multiprocessing/process.py(108): run
7311464293340.171	4144.488	torch/multiprocessing/spawn.py(87): _wrap
7311464293344.903	4139.756	profile_mega_moe_torch.py(336): test
7311464293349.045	4135.614	profile_mega_moe_torch.py(285): _profile_one
7311464293351.41	758.319	torch/profiler/profiler.py(898): step
7311464293352.043	620.67	torch/profiler/profiler.py(932): _transit_action
7311464293352.536	617.495	torch/profiler/profiler.py(241): start_trace
7311464293353.008	316.981	torch/autograd/profiler.py(398): _start_trace
7311464293655.022	7.413	<built-in function perf_counter_ns>
7311464293679.24	17.387	torch/profiler/profiler.py(390): add_metadata_json
7311464293691.505	4.802	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b2aaad20770>
7311464293701.925	1.549	torch/profiler/profiler.py(390): add_metadata_json
7311464293702.319	1.08	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b2aaad20770>
7311464293704.494	0.977	torch/profiler/profiler.py(390): add_metadata_json
7311464293704.696	0.697	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b2aaad20770>
7311464293711.318	1.724	<built-in method kineto_available of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b2aaad207b0>
7311464293715.527	181.027	torch/profiler/profiler.py(405): _get_distributed_info
7311464293723.736	5.346	torch/distributed/__init__.py(17): is_available
