trace: legacy_rank2.json
with_stack: 1
record_shapes: 1
python_function_events: 405

timestamp_us	duration_us	function
7311463686499.698	5886.633	<string>(1): <module>
7311463686501.947	5884.384	multiprocessing/spawn.py(122): spawn_main
7311463686504.134	5882.197	multiprocessing/spawn.py(135): _main
7311463686506.328	5880.003	multiprocessing/process.py(314): _bootstrap
7311463686508.889	5877.442	multiprocessing/process.py(108): run
7311463686510.131	5876.2	torch/multiprocessing/spawn.py(87): _wrap
7311463686515.513	5870.818	profile_mega_moe_torch.py(334): test
7311463686519.603	5866.728	profile_mega_moe_torch.py(285): _profile_one
7311463686524.462	1266.986	torch/profiler/profiler.py(898): step
7311463686525.121	1149.007	torch/profiler/profiler.py(932): _transit_action
7311463686526.05	1146.678	torch/profiler/profiler.py(241): start_trace
7311463686526.506	842.449	torch/autograd/profiler.py(398): _start_trace
7311463687358.206	4.558	<built-in function perf_counter_ns>
7311463687377.563	18.392	torch/profiler/profiler.py(390): add_metadata_json
7311463687389.111	6.408	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a71cf810770>
7311463687400.135	1.66	torch/profiler/profiler.py(390): add_metadata_json
7311463687401.158	0.574	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a71cf810770>
7311463687402.646	0.768	torch/profiler/profiler.py(390): add_metadata_json
7311463687402.966	0.373	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a71cf810770>
7311463687407.678	0.924	<built-in method kineto_available of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a71cf8107b0>
7311463687412.576	197.474	torch/profiler/profiler.py(405): _get_distributed_info
7311463687421.821	6.111	torch/distributed/__init__.py(17): is_available
7311463687426.29	1.481	<built-in function hasattr>
7311463687430.134	4.968	torch/distributed/distributed_c10d.py(1340): is_initialized
7311463687432.675	2.204	torch/distributed/distributed_c10d.py(765): WORLD
7311463687434.362	0.396	torch/distributed/distributed_c10d.py(636): default_pg
7311463687438.794	39.206	torch/distributed/distributed_c10d.py(1417): get_backend
7311463687445.619	4.244	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311463687447.204	1.24	torch/distributed/distributed_c10d.py(1340): is_initialized
7311463687447.718	0.651	torch/distributed/distributed_c10d.py(765): WORLD
7311463687448.161	0.114	torch/distributed/distributed_c10d.py(636): default_pg
7311463687449.384	0.365	torch/distributed/distributed_c10d.py(765): WORLD
7311463687449.616	0.049	torch/distributed/distributed_c10d.py(636): default_pg
7311463687451.808	1.277	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311463687455.867	0.566	torch/distributed/distributed_c10d.py(650): pg_map
7311463687461.607	1.252	<built-in method get of dict object at 0x2a71cf134300>
7311463687465.651	0.132	torch/utils/_typing_utils.py(13): not_none
7311463687471.626	6.087	torch/distributed/distributed_c10d.py(320): __new__
7311463687472.594	0.191	<built-in function isinstance>
7311463687474.328	0.346	<built-in method upper of str object at 0x2a7104f94990>
7311463687475.861	1.435	<built-in function getattr>
7311463687480.222	10.442	torch/distributed/distributed_c10d.py(2476): get_rank
7311463687480.579	0.095	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311463687481.335	1.518	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311463687481.596	0.637	torch/distributed/distributed_c10d.py(1340): is_initialized
7311463687481.784	0.343	torch/distributed/distributed_c10d.py(765): WORLD
7311463687481.976	0.071	torch/distributed/distributed_c10d.py(636): default_pg
7311463687482.524	0.239	torch/distributed/distributed_c10d.py(765): WORLD
7311463687482.646	0.063	torch/distributed/distributed_c10d.py(636): default_pg
7311463687487.1	3.52	<built-in method rank of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a71cf0f2df0>
7311463687492.867	10.983	torch/distributed/distributed_c10d.py(2503): get_world_size
7311463687496.183	0.103	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311463687498.392	5.294	torch/distributed/distributed_c10d.py(1139): _get_group_size
7311463687499.305	0.28	torch/distributed/distributed_c10d.py(765): WORLD
7311463687499.469	0.06	torch/distributed/distributed_c10d.py(636): default_pg
7311463687500.083	1.285	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311463687500.26	0.518	torch/distributed/distributed_c10d.py(1340): is_initialized
7311463687500.435	0.236	torch/distributed/distributed_c10d.py(765): WORLD
7311463687500.561	0.048	torch/distributed/distributed_c10d.py(636): default_pg
7311463687501.067	0.211	torch/distributed/distributed_c10d.py(765): WORLD
7311463687501.171	0.045	torch/distributed/distributed_c10d.py(636): default_pg
7311463687503.084	0.548	<built-in method size of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a71cf0f2e10>
7311463687505.593	2.066	torch/distributed/distributed_c10d.py(1501): get_pg_count
7311463687507.487	0.091	torch/distributed/distributed_c10d.py(693): group_count
7311463687510.507	47.19	torch/distributed/distributed_c10d.py(1492): _get_all_pg_configs
7311463687511.044	0.094	torch/distributed/distributed_c10d.py(650): pg_map
7311463687519.452	27.488	torch/distributed/distributed_c10d.py(1477): _get_pg_config
7311463687521.849	3.509	torch/distributed/distributed_c10d.py(5863): _get_process_group_name
7311463687523.251	0.262	torch/distributed/distributed_c10d.py(663): pg_names
7311463687524.213	1.042	<built-in method get of dict object at 0x2a71cf134300>
7311463687529.608	5.228	torch/distributed/distributed_c10d.py(1397): get_backend_config
7311463687530.086	0.406	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311463687532.199	0.259	torch/distributed/distributed_c10d.py(683): pg_backend_config
7311463687532.889	0.267	<built-in method get of dict object at 0x2a71cf134300>
7311463687534.318	0.085	torch/utils/_typing_utils.py(13): not_none
7311463687535.378	3.06	torch/distributed/distributed_c10d.py(1139): _get_group_size
7311463687535.687	0.311	torch/distributed/distributed_c10d.py(765): WORLD
7311463687535.865	0.081	torch/distributed/distributed_c10d.py(636): default_pg
7311463687536.405	1.273	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311463687536.599	0.5	torch/distributed/distributed_c10d.py(1340): is_initialized
