trace: fused_rank0.json
with_stack: 1
record_shapes: 1
python_function_events: 331

timestamp_us	duration_us	function
7311464293936.569	1.235	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311464293936.77	0.489	torch/distributed/distributed_c10d.py(1340): is_initialized
7311464293936.895	0.261	torch/distributed/distributed_c10d.py(765): WORLD
7311464293937.053	0.038	torch/distributed/distributed_c10d.py(636): default_pg
7311464293937.487	0.227	torch/distributed/distributed_c10d.py(765): WORLD
7311464293937.6	0.05	torch/distributed/distributed_c10d.py(636): default_pg
7311464293938.127	0.238	<built-in method size of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b1d2ec06e10>
7311464293939.416	5.306	torch/distributed/distributed_c10d.py(1125): get_process_group_ranks
7311464293940.152	0.064	torch/distributed/distributed_c10d.py(673): pg_group_ranks
7311464293943.178	0.241	<built-in method keys of dict object at 0x2b1d38280e40>
7311464293947.665	7.583	torch/distributed/distributed_c10d.py(1477): _get_pg_config
7311464293947.943	0.915	torch/distributed/distributed_c10d.py(5863): _get_process_group_name
7311464293948.178	0.085	torch/distributed/distributed_c10d.py(663): pg_names
7311464293948.498	0.28	<built-in method get of dict object at 0x2b1d2ed333c0>
7311464293949.896	1.585	torch/distributed/distributed_c10d.py(1397): get_backend_config
7311464293950.142	0.116	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311464293950.503	0.076	torch/distributed/distributed_c10d.py(683): pg_backend_config
7311464293950.814	0.091	<built-in method get of dict object at 0x2b1d2ed333c0>
7311464293951.218	0.09	torch/utils/_typing_utils.py(13): not_none
7311464293951.775	1.52	torch/distributed/distributed_c10d.py(1139): _get_group_size
7311464293951.98	0.251	torch/distributed/distributed_c10d.py(765): WORLD
7311464293952.118	0.045	torch/distributed/distributed_c10d.py(636): default_pg
7311464293952.985	0.242	<built-in method size of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b1d2ec06e10>
7311464293953.592	1.288	torch/distributed/distributed_c10d.py(1125): get_process_group_ranks
7311464293953.812	0.038	torch/distributed/distributed_c10d.py(673): pg_group_ranks
7311464293954.1	0.114	<built-in method keys of dict object at 0x2b1d38280e40>
7311464293960.1	12.044	torch/cuda/nccl.py(35): version
7311464293962.155	0.825	<built-in function _nccl_version>
7311464293966.512	1.283	<built-in function _nccl_version_suffix>
7311464293970.548	0.397	<built-in method decode of bytes object at 0xb380a8>
7311464293975.453	6.416	<built-in method join of str object at 0xb44e38>
7311464293977.405	1.724	torch/profiler/profiler.py(422): <genexpr>
7311464293979.603	0.462	torch/profiler/profiler.py(422): <genexpr>
7311464293980.292	0.364	torch/profiler/profiler.py(422): <genexpr>
7311464293980.865	0.094	torch/profiler/profiler.py(422): <genexpr>
7311464293986.138	36.951	json/__init__.py(183): dumps
7311464293993.221	2.346	json/encoder.py(105): __init__
7311464293997.538	24.242	json/encoder.py(183): encode
7311464293997.865	0.903	<built-in function isinstance>
7311464294002.922	16.561	json/encoder.py(205): iterencode
7311464294020.569	0.261	<built-in function isinstance>
7311464294021.336	0.233	<built-in method join of str object at 0xb44e38>
7311464294024.178	3.48	torch/profiler/profiler.py(390): add_metadata_json
7311464294024.658	2.882	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b1d2f320770>
7311464294028.68	0.416	<built-in function hasattr>
7311464294033.275	0.493	<built-in function getattr>
7311464294039.31	0.31	<built-in method items of dict object at 0x2b20307fc800>
7311464294046.25	10.674	<frozen _collections_abc>(804): get
7311464294047.675	8.27	<frozen os>(680): __getitem__
7311464294049.099	4.208	<frozen os>(762): encode
7311464294049.41	0.232	<built-in function isinstance>
7311464294052.58	0.604	<built-in method encode of str object at 0x2b1d2fb01a70>
7311464294059.505	0.153	torch/_environment.py(4): is_fbcode
7311464294064.994	7.415	torch/autograd/profiler.py(841): __init__
7311464294068.88	1.91	typing.py(392): inner
7311464294072.168	0.091	torch/jit/__init__.py(129): annotate
7311464294084.278	73.287	torch/autograd/profiler.py(854): __enter__
7311464294088.58	68.555	torch/_ops.py(1263): __call__
7311464294091.626	65.453	<built-in method _record_function_enter_new of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b1d2f7c3cd0>
7311464294106.665	49.424	torch/utils/_device.py(110): __torch_function__
7311464294108.84	1.26	torch/_ops.py(1192): __hash__
7311464294109.781	0.253	<built-in function hash>
7311464294111.591	44.081	torch/_ops.py(1263): __call__
7311464294112.618	42.943	<built-in method _record_function_enter_new of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b1d2f7c3cd0>
7311464294181.819	59.763	profile_mega_moe_torch.py(238): _profile_barrier
7311464294183.698	57.681	deep_ep/buffers/elastic.py(368): barrier
7311464294187.183	54.081	<built-in method barrier of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b1fe8348a70>
7311464294246.301	2.609	torch/autograd/profiler.py(841): __init__
7311464294247.464	0.627	typing.py(392): inner
7311464294248.708	0.077	torch/jit/__init__.py(129): annotate
7311464294250.256	18.963	torch/autograd/profiler.py(854): __enter__
7311464294251.654	17.209	torch/_ops.py(1263): __call__
7311464294252.017	16.786	<built-in method _record_function_enter_new of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b1d2f7c3cd0>
7311464294258.033	10.183	torch/utils/_device.py(110): __torch_function__
7311464294258.765	0.457	torch/_ops.py(1192): __hash__
7311464294259.046	0.112	<built-in function hash>
7311464294259.805	8.158	torch/_ops.py(1263): __call__
7311464294260.01	7.709	<built-in method _record_function_enter_new of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b1d2f7c3cd0>
7311464294273.328	280.49	profile_mega_moe_torch.py(105): run_fused
7311464294278.374	33.185	torch/utils/_device.py(110): __torch_function__
7311464294314.956	50.561	<built-in method copy_ of Tensor object at 0x2b20309f7bb0>
7311464294318.946	46.079	torch/utils/_device.py(110): __torch_function__
7311464294319.524	45.415	<built-in method copy_ of Tensor object at 0x2b20309f7bb0>
7311464294369.791	7.517	torch/utils/_device.py(110): __torch_function__
7311464294378.388	20.382	<built-in method copy_ of Tensor object at 0x2b20309f7bb0>
7311464294379.802	18.523	torch/utils/_device.py(110): __torch_function__
7311464294380.223	18.012	<built-in method copy_ of Tensor object at 0x2b20309f7bb0>
7311464294400.979	5.898	torch/utils/_device.py(110): __torch_function__
7311464294409.103	15.94	<built-in method copy_ of Tensor object at 0x2b20309f7bb0>
7311464294410.336	14.216	torch/utils/_device.py(110): __torch_function__
