trace: fused_rank6.json
with_stack: 1
record_shapes: 1
python_function_events: 331

timestamp_us	duration_us	function
7311464293334.106	4144.461	<string>(1): <module>
7311464293335.577	4142.99	multiprocessing/spawn.py(122): spawn_main
7311464293337.733	4140.834	multiprocessing/spawn.py(135): _main
7311464293339.509	4139.058	multiprocessing/process.py(314): _bootstrap
7311464293341.5	4137.067	multiprocessing/process.py(108): run
7311464293342.26	4136.307	torch/multiprocessing/spawn.py(87): _wrap
7311464293347.034	4131.533	profile_mega_moe_torch.py(336): test
7311464293350.734	4127.833	profile_mega_moe_torch.py(285): _profile_one
7311464293353.232	827.065	torch/profiler/profiler.py(898): step
7311464293353.901	704.39	torch/profiler/profiler.py(932): _transit_action
7311464293354.342	701.292	torch/profiler/profiler.py(241): start_trace
7311464293354.835	450.09	torch/autograd/profiler.py(398): _start_trace
7311464293781.014	6.657	<built-in function perf_counter_ns>
7311464293813.854	14.807	torch/profiler/profiler.py(390): add_metadata_json
7311464293824.37	4.001	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2adca4614770>
7311464293832.171	1.561	torch/profiler/profiler.py(390): add_metadata_json
7311464293833.173	0.519	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2adca4614770>
7311464293834.569	0.494	torch/profiler/profiler.py(390): add_metadata_json
7311464293834.702	0.308	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2adca4614770>
7311464293839.892	0.482	<built-in method kineto_available of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2adca46147b0>
7311464293841.83	153.219	torch/profiler/profiler.py(405): _get_distributed_info
7311464293851.682	3.877	torch/distributed/__init__.py(17): is_available
7311464293854.39	1.054	<built-in function hasattr>
7311464293857.657	4.681	torch/distributed/distributed_c10d.py(1340): is_initialized
7311464293860.179	1.997	torch/distributed/distributed_c10d.py(765): WORLD
7311464293861.377	0.711	torch/distributed/distributed_c10d.py(636): default_pg
7311464293864.783	34.979	torch/distributed/distributed_c10d.py(1417): get_backend
7311464293870.142	2.52	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311464293870.467	1.182	torch/distributed/distributed_c10d.py(1340): is_initialized
7311464293871.049	0.52	torch/distributed/distributed_c10d.py(765): WORLD
7311464293871.409	0.088	torch/distributed/distributed_c10d.py(636): default_pg
7311464293872.293	0.283	torch/distributed/distributed_c10d.py(765): WORLD
7311464293872.472	0.038	torch/distributed/distributed_c10d.py(636): default_pg
7311464293874.019	1.326	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311464293877.712	0.271	torch/distributed/distributed_c10d.py(650): pg_map
7311464293882.216	1.872	<built-in method get of dict object at 0x2adca3f69900>
7311464293886.049	0.083	torch/utils/_typing_utils.py(13): not_none
7311464293890.655	8.626	torch/distributed/distributed_c10d.py(320): __new__
7311464293891.991	0.256	<built-in function isinstance>
7311464293895.245	0.371	<built-in method upper of str object at 0x2adbd99ec990>
7311464293896.883	1.208	<built-in function getattr>
7311464293901.009	10.567	torch/distributed/distributed_c10d.py(2476): get_rank
7311464293901.449	0.118	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311464293902.02	1.625	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311464293902.263	0.735	torch/distributed/distributed_c10d.py(1340): is_initialized
7311464293902.56	0.334	torch/distributed/distributed_c10d.py(765): WORLD
7311464293902.703	0.089	torch/distributed/distributed_c10d.py(636): default_pg
7311464293903.285	0.271	torch/distributed/distributed_c10d.py(765): WORLD
7311464293903.436	0.049	torch/distributed/distributed_c10d.py(636): default_pg
7311464293908.409	3.121	<built-in method rank of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2adca3ef6df0>
7311464293913.085	7.717	torch/distributed/distributed_c10d.py(2503): get_world_size
7311464293914.683	0.12	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311464293916.014	4.687	torch/distributed/distributed_c10d.py(1139): _get_group_size
7311464293916.588	0.306	torch/distributed/distributed_c10d.py(765): WORLD
7311464293916.774	0.038	torch/distributed/distributed_c10d.py(636): default_pg
7311464293917.443	1.324	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311464293917.643	0.523	torch/distributed/distributed_c10d.py(1340): is_initialized
7311464293917.836	0.235	torch/distributed/distributed_c10d.py(765): WORLD
7311464293917.961	0.049	torch/distributed/distributed_c10d.py(636): default_pg
7311464293918.464	0.212	torch/distributed/distributed_c10d.py(765): WORLD
7311464293918.567	0.049	torch/distributed/distributed_c10d.py(636): default_pg
7311464293920.152	0.483	<built-in method size of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2adca3ef6e10>
7311464293921.837	3.292	torch/distributed/distributed_c10d.py(1501): get_pg_count
7311464293923.781	0.951	torch/distributed/distributed_c10d.py(693): group_count
7311464293926.494	40.788	torch/distributed/distributed_c10d.py(1492): _get_all_pg_configs
7311464293927.01	0.083	torch/distributed/distributed_c10d.py(650): pg_map
7311464293934.511	23.228	torch/distributed/distributed_c10d.py(1477): _get_pg_config
7311464293935.822	2.019	torch/distributed/distributed_c10d.py(5863): _get_process_group_name
7311464293936.61	0.063	torch/distributed/distributed_c10d.py(663): pg_names
7311464293937.214	0.492	<built-in method get of dict object at 0x2adca3f69900>
7311464293941.815	4.561	torch/distributed/distributed_c10d.py(1397): get_backend_config
7311464293942.169	0.167	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311464293943.084	0.172	torch/distributed/distributed_c10d.py(683): pg_backend_config
7311464293943.627	0.406	<built-in method get of dict object at 0x2adca3f69900>
7311464293945.889	0.081	torch/utils/_typing_utils.py(13): not_none
7311464293946.849	2.951	torch/distributed/distributed_c10d.py(1139): _get_group_size
7311464293947.168	0.328	torch/distributed/distributed_c10d.py(765): WORLD
7311464293947.382	0.048	torch/distributed/distributed_c10d.py(636): default_pg
7311464293947.876	1.278	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311464293948.094	0.494	torch/distributed/distributed_c10d.py(1340): is_initialized
7311464293948.259	0.231	torch/distributed/distributed_c10d.py(765): WORLD
7311464293948.387	0.039	torch/distributed/distributed_c10d.py(636): default_pg
7311464293948.838	0.228	torch/distributed/distributed_c10d.py(765): WORLD
7311464293948.96	0.047	torch/distributed/distributed_c10d.py(636): default_pg
7311464293949.481	0.268	<built-in method size of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2adca3ef6e10>
7311464293950.833	5.758	torch/distributed/distributed_c10d.py(1125): get_process_group_ranks
7311464293951.52	0.162	torch/distributed/distributed_c10d.py(673): pg_group_ranks
7311464293954.809	0.36	<built-in method keys of dict object at 0x2adca434d500>
7311464293959.533	7.485	torch/distributed/distributed_c10d.py(1477): _get_pg_config
7311464293959.809	1.047	torch/distributed/distributed_c10d.py(5863): _get_process_group_name
7311464293960.089	0.081	torch/distributed/distributed_c10d.py(663): pg_names
7311464293960.373	0.418	<built-in method get of dict object at 0x2adca3f69900>
7311464293961.59	1.652	torch/distributed/distributed_c10d.py(1397): get_backend_config
7311464293961.847	0.154	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311464293962.25	0.072	torch/distributed/distributed_c10d.py(683): pg_backend_config
7311464293962.541	0.112	<built-in method get of dict object at 0x2adca3f69900>
7311464293963.011	0.078	torch/utils/_typing_utils.py(13): not_none
7311464293963.509	1.16	torch/distributed/distributed_c10d.py(1139): _get_group_size
7311464293963.696	0.236	torch/distributed/distributed_c10d.py(765): WORLD
7311464293963.811	0.052	torch/distributed/distributed_c10d.py(636): default_pg
7311464293964.336	0.257	<built-in method size of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2adca3ef6e10>
7311464293964.987	1.693	torch/distributed/distributed_c10d.py(1125): get_process_group_ranks
7311464293965.165	0.064	torch/distributed/distributed_c10d.py(673): pg_group_ranks
7311464293965.658	0.123	<built-in method keys of dict object at 0x2adca434d500>
7311464293972.938	11.835	torch/cuda/nccl.py(35): version
7311464293975.607	0.844	<built-in function _nccl_version>
7311464293980.223	1.33	<built-in function _nccl_version_suffix>
7311464293983.976	0.346	<built-in method decode of bytes object at 0xb380a8>
7311464293988.096	6.139	<built-in method join of str object at 0xb44e38>
7311464293990.043	1.728	torch/profiler/profiler.py(422): <genexpr>
7311464293992.217	0.392	torch/profiler/profiler.py(422): <genexpr>
7311464293992.819	0.183	torch/profiler/profiler.py(422): <genexpr>
7311464293993.201	0.095	torch/profiler/profiler.py(422): <genexpr>
7311464294000.249	37.172	json/__init__.py(183): dumps
7311464294006.063	2.078	json/encoder.py(105): __init__
7311464294010.253	26.721	json/encoder.py(183): encode
7311464294010.513	0.698	<built-in function isinstance>
7311464294015.726	17.757	json/encoder.py(205): iterencode
7311464294034.616	0.366	<built-in function isinstance>
7311464294035.532	0.684	<built-in method join of str object at 0xb44e38>
7311464294038.489	3.24	torch/profiler/profiler.py(390): add_metadata_json
7311464294039.093	2.526	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2adca4614770>
7311464294042.736	0.595	<built-in function hasattr>
7311464294047.737	1.062	<built-in function getattr>
7311464294054.612	0.397	<built-in method items of dict object at 0x2adfa118e500>
7311464294062.042	12.256	<frozen _collections_abc>(804): get
7311464294063.681	9.608	<frozen os>(680): __getitem__
7311464294065.891	3.964	<frozen os>(762): encode
7311464294066.177	0.083	<built-in function isinstance>
7311464294069.376	0.377	<built-in method encode of str object at 0x2adca4df5270>
7311464294076.974	0.115	torch/_environment.py(4): is_fbcode
7311464294081.486	9.199	torch/autograd/profiler.py(841): __init__
7311464294085.768	3.137	typing.py(392): inner
7311464294090.455	0.09	torch/jit/__init__.py(129): annotate
