trace: legacy_rank3.json
with_stack: 1
record_shapes: 1
python_function_events: 405

timestamp_us	duration_us	function
7311463686499.659	5889.388	<string>(1): <module>
7311463686501.444	5887.603	multiprocessing/spawn.py(122): spawn_main
7311463686503.707	5885.34	multiprocessing/spawn.py(135): _main
7311463686505.857	5883.19	multiprocessing/process.py(314): _bootstrap
7311463686508.722	5880.325	multiprocessing/process.py(108): run
7311463686509.63	5879.417	torch/multiprocessing/spawn.py(87): _wrap
7311463686515.185	5873.862	profile_mega_moe_torch.py(334): test
7311463686519.076	5869.971	profile_mega_moe_torch.py(285): _profile_one
7311463686523.792	1288.146	torch/profiler/profiler.py(898): step
7311463686524.385	1126.478	torch/profiler/profiler.py(932): _transit_action
7311463686525.104	1123.792	torch/profiler/profiler.py(241): start_trace
7311463686525.648	777.652	torch/autograd/profiler.py(398): _start_trace
7311463687284.886	8.941	<built-in function perf_counter_ns>
7311463687317.446	22.711	torch/profiler/profiler.py(390): add_metadata_json
7311463687331.381	8.499	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a9d5a51c770>
7311463687344.696	1.905	torch/profiler/profiler.py(390): add_metadata_json
7311463687345.911	0.654	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a9d5a51c770>
7311463687347.576	0.755	torch/profiler/profiler.py(390): add_metadata_json
7311463687347.821	0.44	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a9d5a51c770>
7311463687354.019	1.278	<built-in method kineto_available of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2a9d5a51c7b0>
7311463687359.304	200.686	torch/profiler/profiler.py(405): _get_distributed_info
7311463687371.908	5.307	torch/distributed/__init__.py(17): is_available
7311463687375.087	2.008	<built-in function hasattr>
7311463687380.022	7.67	torch/distributed/distributed_c10d.py(1340): is_initialized
7311463687384.027	3.45	torch/distributed/distributed_c10d.py(765): WORLD
