trace: legacy_rank6.json
with_stack: 1
record_shapes: 1
python_function_events: 405

timestamp_us	duration_us	function
7311463686499.721	5903.513	<string>(1): <module>
7311463686501.616	5901.618	multiprocessing/spawn.py(122): spawn_main
7311463686503.696	5899.538	multiprocessing/spawn.py(135): _main
7311463686505.854	5897.38	multiprocessing/process.py(314): _bootstrap
7311463686508.405	5894.829	multiprocessing/process.py(108): run
7311463686509.587	5893.647	torch/multiprocessing/spawn.py(87): _wrap
7311463686514.99	5888.244	profile_mega_moe_torch.py(334): test
7311463686518.93	5884.304	profile_mega_moe_torch.py(285): _profile_one
7311463686523.18	1125.47	torch/profiler/profiler.py(898): step
7311463686523.993	970.138	torch/profiler/profiler.py(932): _transit_action
7311463686524.666	967.45	torch/profiler/profiler.py(241): start_trace
7311463686525.106	650.992	torch/autograd/profiler.py(398): _start_trace
7311463687160.863	7.675	<built-in function perf_counter_ns>
7311463687189.358	20.149	torch/profiler/profiler.py(390): add_metadata_json
7311463687202.349	6.913	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2adca4614770>
7311463687215.051	1.927	torch/profiler/profiler.py(390): add_metadata_json
7311463687216.234	0.668	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2adca4614770>
7311463687217.863	0.817	torch/profiler/profiler.py(390): add_metadata_json
7311463687218.122	0.495	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2adca4614770>
7311463687226.019	0.719	<built-in method kineto_available of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2adca46147b0>
7311463687232.192	200.144	torch/profiler/profiler.py(405): _get_distributed_info
7311463687242.755	4.717	torch/distributed/__init__.py(17): is_available
7311463687245.892	1.436	<built-in function hasattr>
7311463687249.65	4.812	torch/distributed/distributed_c10d.py(1340): is_initialized
7311463687251.817	2.445	torch/distributed/distributed_c10d.py(765): WORLD
7311463687253.394	0.683	torch/distributed/distributed_c10d.py(636): default_pg
7311463687260.182	45.256	torch/distributed/distributed_c10d.py(1417): get_backend
7311463687268.434	3.402	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311463687269.039	1.425	torch/distributed/distributed_c10d.py(1340): is_initialized
7311463687269.697	0.685	torch/distributed/distributed_c10d.py(765): WORLD
7311463687270.137	0.125	torch/distributed/distributed_c10d.py(636): default_pg
7311463687271.197	0.526	torch/distributed/distributed_c10d.py(765): WORLD
7311463687271.443	0.047	torch/distributed/distributed_c10d.py(636): default_pg
7311463687273.435	0.887	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311463687277.977	0.492	torch/distributed/distributed_c10d.py(650): pg_map
7311463687284.22	2.282	<built-in method get of dict object at 0x2adca3f69900>
7311463687289.824	0.109	torch/utils/_typing_utils.py(13): not_none
7311463687295.458	9.504	torch/distributed/distributed_c10d.py(320): __new__
7311463687297.792	0.237	<built-in function isinstance>
7311463687300.337	0.493	<built-in method upper of str object at 0x2adbd99ec990>
7311463687303.177	1.4	<built-in function getattr>
7311463687308.491	17.269	torch/distributed/distributed_c10d.py(2476): get_rank
7311463687309.352	0.948	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311463687310.941	2.292	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311463687311.27	1.024	torch/distributed/distributed_c10d.py(1340): is_initialized
7311463687311.737	0.416	torch/distributed/distributed_c10d.py(765): WORLD
7311463687311.954	0.109	torch/distributed/distributed_c10d.py(636): default_pg
7311463687312.707	0.416	torch/distributed/distributed_c10d.py(765): WORLD
7311463687312.877	0.046	torch/distributed/distributed_c10d.py(636): default_pg
