trace: fused_rank5.json
with_stack: 1
record_shapes: 1
python_function_events: 331

timestamp_us	duration_us	function
7311464293329.265	4155.382	<string>(1): <module>
7311464293330.472	4154.175	multiprocessing/spawn.py(122): spawn_main
7311464293332.05	4152.597	multiprocessing/spawn.py(135): _main
7311464293333.041	4151.606	multiprocessing/process.py(314): _bootstrap
7311464293334.646	4150.001	multiprocessing/process.py(108): run
7311464293335.242	4149.405	torch/multiprocessing/spawn.py(87): _wrap
7311464293340.072	4144.575	profile_mega_moe_torch.py(336): test
7311464293343.948	4140.699	profile_mega_moe_torch.py(285): _profile_one
7311464293346.424	774.971	torch/profiler/profiler.py(898): step
7311464293346.999	663.735	torch/profiler/profiler.py(932): _transit_action
7311464293347.526	661.502	torch/profiler/profiler.py(241): start_trace
7311464293348.069	386.327	torch/autograd/profiler.py(398): _start_trace
7311464293719.298	7.563	<built-in function perf_counter_ns>
7311464293744.872	18.241	torch/profiler/profiler.py(390): add_metadata_json
7311464293757.735	5.057	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2ab6bfd14770>
7311464293768.722	1.19	torch/profiler/profiler.py(390): add_metadata_json
7311464293769.015	0.82	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2ab6bfd14770>
7311464293770.952	0.865	torch/profiler/profiler.py(390): add_metadata_json
7311464293771.145	0.6	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2ab6bfd14770>
7311464293777.517	1.835	<built-in method kineto_available of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2ab6bfd147b0>
7311464293781.286	175.399	torch/profiler/profiler.py(405): _get_distributed_info
7311464293789.304	4.9	torch/distributed/__init__.py(17): is_available
7311464293793.063	0.997	<built-in function hasattr>
7311464293796.146	3.454	torch/distributed/distributed_c10d.py(1340): is_initialized
7311464293797.752	1.629	torch/distributed/distributed_c10d.py(765): WORLD
7311464293798.922	0.338	torch/distributed/distributed_c10d.py(636): default_pg
7311464293802.276	37.391	torch/distributed/distributed_c10d.py(1417): get_backend
7311464293809.066	3.107	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311464293809.535	1.482	torch/distributed/distributed_c10d.py(1340): is_initialized
7311464293810.04	0.872	torch/distributed/distributed_c10d.py(765): WORLD
7311464293810.681	0.111	torch/distributed/distributed_c10d.py(636): default_pg
7311464293811.703	0.356	torch/distributed/distributed_c10d.py(765): WORLD
7311464293811.926	0.049	torch/distributed/distributed_c10d.py(636): default_pg
7311464293813.411	0.991	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311464293815.981	0.384	torch/distributed/distributed_c10d.py(650): pg_map
7311464293822.564	1.562	<built-in method get of dict object at 0x2ab6bf64f980>
7311464293826.161	0.119	torch/utils/_typing_utils.py(13): not_none
7311464293829.992	9.245	torch/distributed/distributed_c10d.py(320): __new__
7311464293831.329	0.596	<built-in function isinstance>
7311464293834.86	0.47	<built-in method upper of str object at 0x2ab5f5254990>
7311464293836.961	1.863	<built-in function getattr>
7311464293841.12	13.555	torch/distributed/distributed_c10d.py(2476): get_rank
7311464293842.02	0.128	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311464293843.319	2.091	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311464293843.68	0.915	torch/distributed/distributed_c10d.py(1340): is_initialized
7311464293843.998	0.461	torch/distributed/distributed_c10d.py(765): WORLD
7311464293844.26	0.103	torch/distributed/distributed_c10d.py(636): default_pg
7311464293844.955	0.339	torch/distributed/distributed_c10d.py(765): WORLD
7311464293845.157	0.058	torch/distributed/distributed_c10d.py(636): default_pg
7311464293851.087	3.513	<built-in method rank of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2ab6bf5f6df0>
7311464293856.505	12.247	torch/distributed/distributed_c10d.py(2503): get_world_size
7311464293859.121	0.284	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311464293861.432	7.128	torch/distributed/distributed_c10d.py(1139): _get_group_size
7311464293861.978	0.392	torch/distributed/distributed_c10d.py(765): WORLD
7311464293862.23	0.053	torch/distributed/distributed_c10d.py(636): default_pg
7311464293862.931	1.568	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311464293863.152	0.633	torch/distributed/distributed_c10d.py(1340): is_initialized
7311464293863.359	0.306	torch/distributed/distributed_c10d.py(765): WORLD
7311464293863.517	0.064	torch/distributed/distributed_c10d.py(636): default_pg
7311464293864.104	0.28	torch/distributed/distributed_c10d.py(765): WORLD
7311464293864.241	0.064	torch/distributed/distributed_c10d.py(636): default_pg
7311464293867.802	0.71	<built-in method size of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2ab6bf5f6e10>
7311464293869.935	3.611	torch/distributed/distributed_c10d.py(1501): get_pg_count
7311464293872.592	0.852	torch/distributed/distributed_c10d.py(693): group_count
7311464293875.285	49.023	torch/distributed/distributed_c10d.py(1492): _get_all_pg_configs
7311464293875.874	0.118	torch/distributed/distributed_c10d.py(650): pg_map
7311464293884.322	28.111	torch/distributed/distributed_c10d.py(1477): _get_pg_config
7311464293885.792	3.316	torch/distributed/distributed_c10d.py(5863): _get_process_group_name
7311464293886.628	0.078	torch/distributed/distributed_c10d.py(663): pg_names
7311464293887.445	0.996	<built-in method get of dict object at 0x2ab6bf64f980>
7311464293892.541	5.773	torch/distributed/distributed_c10d.py(1397): get_backend_config
7311464293893.024	0.249	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311464293894.62	0.047	torch/distributed/distributed_c10d.py(683): pg_backend_config
7311464293896.116	0.648	<built-in method get of dict object at 0x2ab6bf64f980>
7311464293897.715	0.126	torch/utils/_typing_utils.py(13): not_none
7311464293898.947	3.655	torch/distributed/distributed_c10d.py(1139): _get_group_size
7311464293899.294	0.4	torch/distributed/distributed_c10d.py(765): WORLD
7311464293899.548	0.08	torch/distributed/distributed_c10d.py(636): default_pg
7311464293900.154	1.575	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311464293900.408	0.636	torch/distributed/distributed_c10d.py(1340): is_initialized
7311464293900.609	0.301	torch/distributed/distributed_c10d.py(765): WORLD
7311464293900.781	0.051	torch/distributed/distributed_c10d.py(636): default_pg
7311464293901.338	0.277	torch/distributed/distributed_c10d.py(765): WORLD
7311464293901.478	0.06	torch/distributed/distributed_c10d.py(636): default_pg
7311464293902.154	0.36	<built-in method size of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2ab6bf5f6e10>
7311464293903.851	6.448	torch/distributed/distributed_c10d.py(1125): get_process_group_ranks
7311464293904.97	0.068	torch/distributed/distributed_c10d.py(673): pg_group_ranks
7311464293908.114	0.398	<built-in method keys of dict object at 0x2ab6c095af00>
7311464293913.712	10.276	torch/distributed/distributed_c10d.py(1477): _get_pg_config
7311464293914.072	1.11	torch/distributed/distributed_c10d.py(5863): _get_process_group_name
7311464293914.312	0.085	torch/distributed/distributed_c10d.py(663): pg_names
7311464293914.675	0.274	<built-in method get of dict object at 0x2ab6bf64f980>
7311464293916.864	2.184	torch/distributed/distributed_c10d.py(1397): get_backend_config
7311464293917.197	0.181	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311464293917.689	0.089	torch/distributed/distributed_c10d.py(683): pg_backend_config
7311464293918.079	0.117	<built-in method get of dict object at 0x2ab6bf64f980>
7311464293918.742	0.107	torch/utils/_typing_utils.py(13): not_none
7311464293919.398	1.806	torch/distributed/distributed_c10d.py(1139): _get_group_size
7311464293919.661	0.322	torch/distributed/distributed_c10d.py(765): WORLD
7311464293919.838	0.056	torch/distributed/distributed_c10d.py(636): default_pg
7311464293920.765	0.339	<built-in method size of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2ab6bf5f6e10>
7311464293921.656	1.944	torch/distributed/distributed_c10d.py(1125): get_process_group_ranks
7311464293921.919	0.079	torch/distributed/distributed_c10d.py(673): pg_group_ranks
7311464293922.403	0.146	<built-in method keys of dict object at 0x2ab6c095af00>
