trace: legacy_rank7.json
with_stack: 1
record_shapes: 1
python_function_events: 405

timestamp_us	duration_us	function
7311463686499.499	5889.002	<string>(1): <module>
7311463686501.034	5887.467	multiprocessing/spawn.py(122): spawn_main
7311463686503.495	5885.006	multiprocessing/spawn.py(135): _main
7311463686505.424	5883.077	multiprocessing/process.py(314): _bootstrap
7311463686507.816	5880.685	multiprocessing/process.py(108): run
7311463686508.977	5879.524	torch/multiprocessing/spawn.py(87): _wrap
7311463686513.889	5874.612	profile_mega_moe_torch.py(334): test
7311463686517.526	5870.975	profile_mega_moe_torch.py(285): _profile_one
7311463686521.918	1227.737	torch/profiler/profiler.py(898): step
7311463686522.693	1108.785	torch/profiler/profiler.py(932): _transit_action
7311463686523.545	1106.547	torch/profiler/profiler.py(241): start_trace
7311463686524.099	840.577	torch/autograd/profiler.py(398): _start_trace
7311463687354.34	4.858	<built-in function perf_counter_ns>
7311463687372.381	13.812	torch/profiler/profiler.py(390): add_metadata_json
7311463687381.392	4.553	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b2aaad20770>
7311463687389.76	1.347	torch/profiler/profiler.py(390): add_metadata_json
7311463687390.592	0.458	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b2aaad20770>
7311463687391.765	0.51	torch/profiler/profiler.py(390): add_metadata_json
7311463687391.955	0.265	<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b2aaad20770>
7311463687396.192	0.557	<built-in method kineto_available of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b2aaad207b0>
7311463687400.505	148.864	torch/profiler/profiler.py(405): _get_distributed_info
7311463687407.393	4.196	torch/distributed/__init__.py(17): is_available
7311463687410.07	1.396	<built-in function hasattr>
7311463687413.285	3.8	torch/distributed/distributed_c10d.py(1340): is_initialized
7311463687415.207	1.631	torch/distributed/distributed_c10d.py(765): WORLD
7311463687416.439	0.293	torch/distributed/distributed_c10d.py(636): default_pg
7311463687419.746	27.779	torch/distributed/distributed_c10d.py(1417): get_backend
7311463687424.443	2.502	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311463687424.95	0.898	torch/distributed/distributed_c10d.py(1340): is_initialized
7311463687425.228	0.565	torch/distributed/distributed_c10d.py(765): WORLD
7311463687425.592	0.081	torch/distributed/distributed_c10d.py(636): default_pg
7311463687426.565	0.28	torch/distributed/distributed_c10d.py(765): WORLD
7311463687426.741	0.039	torch/distributed/distributed_c10d.py(636): default_pg
7311463687428.443	1.298	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311463687431.593	0.272	torch/distributed/distributed_c10d.py(650): pg_map
7311463687434.677	0.795	<built-in method get of dict object at 0x2b2aaa6a2e80>
7311463687437.682	0.082	torch/utils/_typing_utils.py(13): not_none
7311463687441.442	5.597	torch/distributed/distributed_c10d.py(320): __new__
7311463687442.257	0.207	<built-in function isinstance>
7311463687444.145	0.415	<built-in method upper of str object at 0x2b29e0354840>
7311463687445.553	1.075	<built-in function getattr>
7311463687449.921	9.757	torch/distributed/distributed_c10d.py(2476): get_rank
7311463687450.405	0.255	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311463687451.068	1.555	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311463687451.335	0.685	torch/distributed/distributed_c10d.py(1340): is_initialized
7311463687451.591	0.322	torch/distributed/distributed_c10d.py(765): WORLD
7311463687451.767	0.071	torch/distributed/distributed_c10d.py(636): default_pg
7311463687452.298	0.232	torch/distributed/distributed_c10d.py(765): WORLD
7311463687452.415	0.051	torch/distributed/distributed_c10d.py(636): default_pg
7311463687456.619	2.996	<built-in method rank of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x2b2aaa602df0>
7311463687463.06	9.32	torch/distributed/distributed_c10d.py(2503): get_world_size
7311463687465.936	0.078	torch/distributed/distributed_c10d.py(1043): _rank_not_in_group
7311463687467.62	4.517	torch/distributed/distributed_c10d.py(1139): _get_group_size
7311463687468.26	0.277	torch/distributed/distributed_c10d.py(765): WORLD
7311463687468.429	0.04	torch/distributed/distributed_c10d.py(636): default_pg
7311463687469.003	1.214	torch/distributed/distributed_c10d.py(1366): _get_default_group
7311463687469.193	0.486	torch/distributed/distributed_c10d.py(1340): is_initialized
7311463687469.356	0.216	torch/distributed/distributed_c10d.py(765): WORLD
