model,batch_size,rank_rows,expected_ranks,time_us,compute_tflops,global_memory_gbs,interconnect_gbs,speedup_vs_legacy,deepgemm_commit,deepep_commit,gpu_model,gpu_count,modal_gpu_request,log_path
DeepSeek-V4-Flash,1,3,8,69.66666666666667,2.3333333333333335,595.0,0.6666666666666666,0.0,714dd1a4a980,not-installed,NVIDIA B200,8,B200:8,/cache/deepgemm/results/20260528-044053/flash_bsz1.log
DeepSeek-V4-Flash,512,3,8,228.33333333333334,682.3333333333334,2029.6666666666667,170.0,0.0,714dd1a4a980,not-installed,NVIDIA B200,8,B200:8,/cache/deepgemm/results/20260528-044053/flash_bsz512.log
DeepSeek-V4-Flash,8192,2,8,1325.5,1868.0,964.5,482.5,0.0,714dd1a4a980,not-installed,NVIDIA B200,8,B200:8,/cache/deepgemm/results/20260528-044053/flash_bsz8192.log
DeepSeek-V4-Flash,32768,4,8,4882.0,2024.75,788.0,525.25,0.0,714dd1a4a980,not-installed,NVIDIA B200,8,B200:8,/cache/deepgemm/results/20260528-044053/flash_bsz32768.log
DeepSeek-V4-Pro,1,3,8,186.33333333333334,4.666666666666667,1168.3333333333333,0.6666666666666666,0.0,714dd1a4a980,not-installed,NVIDIA B200,8,B200:8,/cache/deepgemm/results/20260528-044053/pro_bsz1.log
DeepSeek-V4-Pro,512,2,8,418.5,974.0,4069.5,161.5,0.0,714dd1a4a980,not-installed,NVIDIA B200,8,B200:8,/cache/deepgemm/results/20260528-044053/pro_bsz512.log
DeepSeek-V4-Pro,8192,3,8,2860.3333333333335,2261.3333333333335,1075.0,385.0,0.0,714dd1a4a980,not-installed,NVIDIA B200,8,B200:8,/cache/deepgemm/results/20260528-044053/pro_bsz8192.log
DeepSeek-V4-Pro,32768,4,8,10612.5,2445.75,694.25,418.25,0.0,714dd1a4a980,not-installed,NVIDIA B200,8,B200:8,/cache/deepgemm/results/20260528-044053/pro_bsz32768.log
