dtype,tokens,E,K,N,top_k,naive_ms,baseline_ms,noreq_ms,fused_ms,speedup,speedup_noreq,speedup_naive,naive_tflops,baseline_tflops,fused_tflops,max_abs,rel,naive_max_abs
bf16,4096,32,2048,2048,4,0.8384000062942505,0.3401919901371002,nan,0.2808320075273514,1.2113718558379338,nan,2.985414709940409,245.89507235242704,606.0061264961482,734.0987661027968,nan,nan,nan
bf16,8192,32,2048,2048,4,1.0790719985961914,0.618367999792099,nan,0.5104320049285889,1.2114600844408467,nan,2.114036714345836,382.1031969622043,666.7823376284425,807.7801870470181,nan,nan,nan
bf16,16384,32,2048,2048,4,1.5896639823913574,1.1871359944343567,nan,0.9676479995250702,1.2268262787883746,nan,1.642812244919204,518.747188063914,694.6413255921191,852.2042325688031,nan,nan,nan
bf16,32768,32,2048,2048,4,2.5971839427948,2.3777120113372803,nan,1.9568480253219604,1.215072392219153,nan,1.3272282309033605,635.0214224292647,693.636333500462,842.8183590765286,nan,nan,nan
bf16,65536,32,2048,2048,4,4.9279680252075195,4.796783924102783,nan,3.9411360025405884,1.2171069257723193,nan,1.250392785742686,669.349895627437,687.6555074231273,836.9502806301668,nan,nan,nan
bf16,131072,32,2048,2048,4,10.245744228363037,9.939551830291748,nan,7.834959983825684,1.2686155195190194,nan,1.3076957954493862,643.8839014147451,663.719036762884,842.0042706376094,nan,nan,nan
mxfp8,4096,32,2048,2048,4,1.9749279618263245,0.6103360056877136,0.3171519935131073,0.2616479992866516,2.3326607019801924,1.2121323089715188,7.548033874559341,104.38782284360083,337.7785814482714,787.9228229149983,nan,nan,nan
mxfp8,8192,32,2048,2048,4,2.298303961753845,1.1112800240516663,0.5547839999198914,0.4726080000400543,2.3513779368048855,1.1738777165703342,4.863023820077231,179.4004915265252,371.02876996989045,872.4288636270555,nan,nan,nan
mxfp8,16384,32,2048,2048,4,3.1581599712371826,2.075503945350647,1.0229439735412598,0.8902719914913177,2.331314435573691,1.149024099733498,3.5474102312787203,261.1120805603007,397.3173467963136,926.271666090084,nan,nan,nan
mxfp8,32768,32,2048,2048,4,4.761280059814453,3.9960479736328125,1.9477760195732117,1.7520959973335266,2.2807243322936093,1.111683390942897,2.717476706219598,346.3916049769758,412.72463507605215,941.3111177549524,nan,nan,nan
mxfp8,65536,32,2048,2048,4,8.052800178527832,7.851632118225098,3.817504048347473,3.495184063911438,2.246414487664603,1.0922183148418596,2.303970272030823,409.61340281648705,420.1081805235739,943.7371031145727,nan,nan,nan
mxfp8,131072,32,2048,2048,4,16.312560081481934,15.64404821395874,7.590368032455444,7.002048015594482,2.2342103594715983,1.084021134323943,2.3296841217243465,404.4165804572277,421.69837860571295,942.16288605326,nan,nan,nan
