variant,bench_type,input_len,output_len,batch_size,round,returncode,elapsed_s,benchmark_duration_s,input_throughput_tok_s,mean_itl_ms,mean_tpot_ms,mean_ttft_ms,median_itl_ms,median_tpot_ms,median_ttft_ms,output_throughput_tok_s,p99_itl_ms,p99_tpot_ms,p99_ttft_ms,request_throughput_req_s,successful_requests,total_generated_tokens,total_input_tokens
marlin_mxfp4a16,tpot,65536,1024,1,2,0,28.106,8.97,7305.28,4.64,4.64,4213.68,4.46,4.64,4213.68,114.14,9.75,4.64,4213.68,0.11,1,1024,65536
marlin_mxfp4a16,tpot,65536,1024,1,3,0,29.111,8.99,7289.31,4.66,4.66,4214.32,4.48,4.66,4214.32,113.9,9.53,4.66,4214.32,0.11,1,1024,65536
marlin_mxfp4a16,tpot,65536,1024,4,1,0,43.567,23.83,10999.19,12.49,12.49,10697.7,5.48,12.29,10726.95,171.86,22.52,18.35,16650.13,0.17,4,4096,262144
marlin_mxfp4a16,tpot,65536,1024,4,2,0,42.845,23.12,11339.17,11.7,11.7,10671.02,5.47,11.45,10699.12,177.17,14.98,17.55,16626.42,0.17,4,4096,262144
marlin_mxfp4a16,tpot,65536,1024,4,3,0,42.799,22.97,11414.42,11.64,11.64,10664.58,5.45,11.68,10668.3,178.35,14.82,17.06,16667.32,0.17,4,4096,262144
marlin_mxfp4a16,tpot,65536,1024,8,1,0,60.202,41.17,12734.48,20.85,20.85,19158.59,6.59,20.67,19436.58,198.98,20.42,34.21,32955.29,0.19,8,8192,524288
marlin_mxfp4a16,tpot,65536,1024,8,2,0,61.247,41.7,12571.75,21.39,21.39,19139.5,6.6,21.46,19421.11,196.43,23.66,34.68,32861.24,0.19,8,8192,524288
marlin_mxfp4a16,tpot,65536,1024,8,3,0,61.609,41.64,12590.89,21.2,21.2,19122.43,6.6,21.35,19420.51,196.73,23.79,34.89,32812.97,0.19,8,8192,524288
marlin_mxfp4a16,tpot,131072,1024,1,1,0,37.58,13.69,9576.3,4.86,4.86,8706.31,4.63,4.86,8706.31,74.81,10.93,4.86,8706.31,0.07,1,1024,131072
marlin_mxfp4a16,tpot,131072,1024,1,2,0,36.861,13.78,9512.18,4.85,4.85,8811.71,4.59,4.85,8811.71,74.31,10.93,4.85,8811.71,0.07,1,1024,131072
marlin_mxfp4a16,tpot,131072,1024,1,3,0,38.556,14.01,9352.95,5.16,5.16,8721.52,4.64,5.16,8721.52,73.07,20.11,5.16,8721.52,0.07,1,1024,131072
marlin_mxfp4a16,tpot,131072,1024,4,1,0,65.541,40.97,12796.05,18.37,18.37,21728.6,5.76,18.16,21738.33,99.97,14.98,30.49,34136.34,0.1,4,4096,524288
marlin_mxfp4a16,tpot,131072,1024,4,2,0,66.273,41.56,12615.76,18.79,18.79,21695.28,5.77,18.5,21708.2,98.56,20.89,30.87,34108.82,0.1,4,4096,524288
marlin_mxfp4a16,tpot,131072,1024,4,3,0,65.582,41.24,12713.86,18.54,18.54,21754.19,5.78,18.27,21757.05,99.33,14.56,30.74,34208.86,0.1,4,4096,524288
marlin_mxfp4a16,tpot,131072,1024,8,1,0,101.695,77.19,13583.76,36.48,36.48,39218.55,7.14,36.12,39422.33,106.12,21.49,64.6,68008.12,0.1,8,8192,1048576
marlin_mxfp4a16,tpot,131072,1024,8,2,0,101.16,77.43,13542.12,36.95,36.95,38997.79,7.15,37.37,38936.68,105.8,22.97,65.39,68073.66,0.1,8,8192,1048576
marlin_mxfp4a16,tpot,131072,1024,8,3,0,102.686,77.06,13608.07,36.4,36.4,39201.43,7.14,36.54,39508.99,106.31,18.02,65.04,68031.36,0.1,8,8192,1048576
humming_mxfp4a16,ttft,16384,256,1,1,0,36.687,20.64,7937.71,4.87,4.87,820.69,4.19,4.69,795.2,124.03,14.71,5.69,972.84,0.48,10,2560,163840
humming_mxfp4a16,ttft,16384,256,1,2,0,35.317,19.82,8266.88,4.61,4.61,806.32,4.17,4.6,787.81,129.17,13.48,5.2,909.27,0.5,10,2560,163840
humming_mxfp4a16,ttft,16384,256,1,3,0,35.886,20.73,7902.89,4.93,4.93,814.56,4.2,4.72,792.49,123.48,17.88,6.35,946.09,0.48,10,2560,163840
humming_mxfp4a16,ttft,32768,256,1,1,0,44.483,27.89,11747.69,4.66,4.66,1598.96,4.21,4.65,1580.39,91.78,14.51,5.22,1761.99,0.36,10,2560,327680
humming_mxfp4a16,ttft,32768,256,1,2,0,45.567,28.42,11531.65,4.84,4.84,1606.4,4.26,4.8,1590.75,90.09,15.12,6.13,1757.92,0.35,10,2560,327680
humming_mxfp4a16,ttft,32768,256,1,3,0,44.87,28.43,11524.53,4.85,4.85,1604.58,4.26,4.76,1587.09,90.04,14,5.7,1741.63,0.35,10,2560,327680
humming_mxfp4a16,ttft,65536,256,1,1,0,64.221,45.08,14536.78,4.91,4.91,3256.5,4.39,4.92,3232.06,56.78,14.38,5.55,3470.12,0.22,10,2560,655360
humming_mxfp4a16,ttft,65536,256,1,2,0,64.014,45.76,14322.69,5.17,5.17,3257.29,4.42,4.95,3241.09,55.95,17.44,6.58,3401.08,0.22,10,2560,655360
humming_mxfp4a16,ttft,65536,256,1,3,0,63.139,45.45,14420.33,5.03,5.03,3259.89,4.36,4.8,3219.6,56.33,17.44,6.19,3389.95,0.22,10,2560,655360
humming_mxfp4a16,ttft,131072,256,1,1,0,102.794,80.56,16270.09,5.23,5.23,6722.61,4.53,5.15,6690.95,31.78,18.77,6.1,7028.56,0.12,10,2560,1310720
humming_mxfp4a16,ttft,131072,256,1,2,0,103.566,80.56,16270.82,5.15,5.15,6741.91,4.52,5.23,6729.36,31.78,14.03,5.8,6941.23,0.12,10,2560,1310720
humming_mxfp4a16,ttft,131072,256,1,3,0,102.37,80.41,16300.24,5.11,5.11,6736.17,4.52,5.07,6732.04,31.84,14.27,5.93,6900.87,0.12,10,2560,1310720
humming_mxfp4a16,tpot,1024,1024,1,1,0,21.066,4.64,220.89,4.31,4.31,216.49,4.08,4.31,216.49,220.89,11.86,4.31,216.49,0.22,1,1024,1024
humming_mxfp4a16,tpot,1024,1024,1,2,0,19.878,4.7,218,4.33,4.33,256.06,4.09,4.33,256.06,218,12.83,4.33,256.06,0.21,1,1024,1024
humming_mxfp4a16,tpot,1024,1024,1,3,0,19.483,4.96,206.26,4.6,4.6,252.53,4.09,4.6,252.53,206.26,14.47,4.6,252.53,0.2,1,1024,1024
humming_mxfp4a16,tpot,1024,1024,4,1,0,22.495,6.53,627.62,5.17,5.17,669.19,4.93,5.14,698.35,627.62,14.07,5.68,698.83,0.61,4,4096,4096
humming_mxfp4a16,tpot,1024,1024,4,2,0,21.856,5.89,695.64,5.05,5.05,379.62,4.96,5.03,382.18,695.64,13.23,5.36,382.67,0.68,4,4096,4096
humming_mxfp4a16,tpot,1024,1024,4,3,0,20.667,5.68,721.63,5.01,5.01,374.14,4.94,5.04,376.57,721.63,10.66,5.17,377.14,0.7,4,4096,4096
humming_mxfp4a16,tpot,1024,1024,8,1,0,24.07,7.24,1130.95,6.08,6.08,564.01,5.88,6.09,569.61,1130.95,14.74,6.51,570.62,1.1,8,8192,8192
humming_mxfp4a16,tpot,1024,1024,8,2,0,22.35,7.55,1085.43,6.35,6.35,521.31,5.91,6.25,524.54,1085.43,18.1,6.85,525.65,1.06,8,8192,8192
humming_mxfp4a16,tpot,1024,1024,8,3,0,22.35,7.42,1104.49,6.27,6.27,568.77,5.91,6.28,571.7,1104.49,15.79,6.68,572.99,1.08,8,8192,8192
humming_mxfp4a16,tpot,32768,1024,1,1,0,23.906,6.45,5083.22,4.75,4.75,1579.65,4.25,4.75,1579.65,158.85,13.92,4.75,1579.65,0.16,1,1024,32768
humming_mxfp4a16,tpot,32768,1024,1,2,0,22.95,6.18,5298.88,4.49,4.49,1581.52,4.23,4.49,1581.52,165.59,10.23,4.49,1581.52,0.16,1,1024,32768
humming_mxfp4a16,tpot,32768,1024,1,3,0,23.209,6.46,5074.93,4.74,4.74,1605.06,4.22,4.74,1605.06,158.59,18.15,4.74,1605.06,0.15,1,1024,32768
humming_mxfp4a16,tpot,32768,1024,4,1,0,29.376,11.93,10988.28,7.46,7.46,3992.02,5.19,7.48,4014.49,343.38,12.27,9.22,6110.4,0.34,4,4096,131072
humming_mxfp4a16,tpot,32768,1024,4,2,0,28.755,12.1,10831.61,7.63,7.63,3989.81,5.2,7.69,4011.46,338.49,20.19,9.28,6109.78,0.33,4,4096,131072
humming_mxfp4a16,tpot,32768,1024,4,3,0,29.956,11.99,10934.05,7.52,7.52,3994.24,5.19,7.6,4015.93,341.69,14.49,9.18,6115.53,0.33,4,4096,131072
humming_mxfp4a16,tpot,32768,1024,8,1,0,35.948,19.59,13382.77,11.57,11.57,7188.59,6.22,11.73,7385.54,418.21,21.19,16.1,12053.47,0.41,8,8192,262144
humming_mxfp4a16,tpot,32768,1024,8,2,0,36.532,19.3,13580.6,11.35,11.35,7171.6,6.22,11.16,7368.01,424.39,14.28,15.93,12056.81,0.41,8,8192,262144
humming_mxfp4a16,tpot,32768,1024,8,3,0,37.724,20.38,12862.25,12.21,12.21,7178.9,6.26,12.38,7371.17,401.95,22.97,16.63,12061.33,0.39,8,8192,262144
humming_mxfp4a16,tpot,65536,1024,1,1,0,25.959,8.17,8019.65,4.85,4.85,3204.36,4.39,4.85,3204.36,125.31,14.95,4.85,3204.36,0.12,1,1024,65536
humming_mxfp4a16,tpot,65536,1024,1,2,0,26.242,8.09,8098.52,4.79,4.79,3188.18,4.37,4.79,3188.18,126.54,17.66,4.79,3188.18,0.12,1,1024,65536
humming_mxfp4a16,tpot,65536,1024,1,3,0,27.414,8.08,8110.1,4.77,4.77,3195.18,4.39,4.77,3195.18,126.72,13.77,4.77,3195.18,0.12,1,1024,65536
humming_mxfp4a16,tpot,65536,1024,4,1,0,36.96,18.97,13821.44,10.45,10.45,7951.21,5.37,10.52,7938.78,215.96,19.73,14.41,12450.17,0.21,4,4096,262144
humming_mxfp4a16,tpot,65536,1024,4,2,0,37.299,18.5,14173.54,9.95,9.95,7957.66,5.36,9.99,7965.9,221.46,11.3,13.88,12407.1,0.22,4,4096,262144
humming_mxfp4a16,tpot,65536,1024,4,3,0,37.578,19.02,13781.76,10.31,10.31,8037.75,5.36,10.12,8038.49,215.34,20.08,14.63,12510.18,0.21,4,4096,262144
humming_mxfp4a16,tpot,65536,1024,8,1,0,51.299,32.56,16099.92,17.26,17.26,14155.9,6.51,17.47,14047.17,251.56,19.52,26.77,24517.79,0.25,8,8192,524288
humming_mxfp4a16,tpot,65536,1024,8,2,0,51.042,32.47,16147.21,17.07,17.07,14378.74,6.5,17.16,14473.94,252.3,18.82,27.53,24500.75,0.25,8,8192,524288
humming_mxfp4a16,tpot,65536,1024,8,3,0,51.018,32.51,16129.27,17.24,17.24,14100.49,6.53,17.41,14066.33,252.02,16.98,26.74,24466.6,0.25,8,8192,524288
humming_mxfp4a16,tpot,131072,1024,1,1,0,33.691,11.58,11314.94,4.82,4.82,6645.28,4.53,4.82,6645.28,88.4,12.79,4.82,6645.28,0.09,1,1024,131072
humming_mxfp4a16,tpot,131072,1024,1,2,0,34.417,11.97,10951.3,5.21,5.21,6635.07,4.56,5.21,6635.07,85.56,19.51,5.21,6635.07,0.08,1,1024,131072
humming_mxfp4a16,tpot,131072,1024,1,3,0,32.366,11.62,11284.09,4.84,4.84,6651.02,4.55,4.84,6651.02,88.16,10.43,4.84,6651.02,0.09,1,1024,131072
humming_mxfp4a16,tpot,131072,1024,4,1,0,55.258,32.76,16005.02,15.39,15.39,16546.17,5.68,15.18,16540.47,125.04,14.95,24.55,25940.53,0.12,4,4096,524288
humming_mxfp4a16,tpot,131072,1024,4,2,0,54.673,32.7,16032.28,15.03,15.03,16822.38,5.7,14.61,16944.02,125.25,12.27,24.58,25906.38,0.12,4,4096,524288
humming_mxfp4a16,tpot,131072,1024,4,3,0,54.332,32.67,16048.71,15.36,15.36,16525.3,5.69,15.18,16523.89,125.38,13.53,24.47,25914.21,0.12,4,4096,524288
humming_mxfp4a16,tpot,131072,1024,8,1,0,82.757,60.42,17354.83,29.63,29.63,29509.15,7.16,30.06,29508.04,135.58,19.48,51.09,51391.01,0.13,8,8192,1048576
humming_mxfp4a16,tpot,131072,1024,8,2,0,82.92,60.35,17374.46,29.61,29.61,29399.61,7.11,29.84,29596.15,135.74,23.26,50.25,51140.55,0.13,8,8192,1048576
humming_mxfp4a16,tpot,131072,1024,8,3,0,82.898,60.2,17418.57,29.29,29.29,29464.77,7.07,29.34,29652.02,136.08,16.6,50.74,51263.71,0.13,8,8192,1048576
