accumulation_dtype,activation_compute_dtype,activation_quantization,active_token_expert_pairs,backend,case_tag,hidden_size,intermediate_dtype,intermediate_size,max_time_ms,mean_time_ms,median_time_ms,min_time_ms,num_experts,num_tokens,output_dtype,p20_time_ms,p80_time_ms,precision_alignment_status,repeat,routing_weight_dtype,scope,source_activation_dtype,std_time_ms,tflops,top_k,warmup,weight_format,weight_scale_dtype,weight_generation,weight_scale_layout,router_source,router_weight_semantics,strict_precision_equivalent_to_other_backends,non_equivalent_axes
float32 when use_f16_accum=False,fp8_e4m3,"ops.quant_input(..., float8e4m3, group_size=0) for both input and activated intermediate",2048,inclusionai_humming_main_indexed_fuller_pipeline,pr3516_full_moe_t2048,4096,BF16 SwiGLU activation is quantized to torch.float8_e4m3fn before w2,1024,0.45955199003219604,0.3328969594836235,0.3197920024394989,0.3140160143375397,8,2048,torch.bfloat16,0.31678079962730404,0.3249343931674957,aligned dtype family; fuller scripted pipeline is not the same fused surface as FlashInfer,100,torch.float32,w13_torch_swiglu_fixed_fp8_quant_w2_triton_combine_cuda_events_no_graph,torch.bfloat16,0.03531209441641362,161.16603029105056,1,20,mxfp4_e2m1_group32,ue8m0_style_uint8_or_float8e8m0,humming_random_fill_tensor_then_transform,humming_internal_transformed_layout,deterministic_token_mod_expert,all_ones,false,"activation_scale_policy,router_semantics,weight_generation,weight_layout,intermediate_dtype_flow,timed_scope,cache_policy,accumulation_visibility"
float32 when use_f16_accum=False,fp8_e4m3,"ops.quant_input(..., float8e4m3, group_size=0) for both input and activated intermediate",8192,inclusionai_humming_main_indexed_fuller_pipeline,pr3516_full_moe_t8192,4096,BF16 SwiGLU activation is quantized to torch.float8_e4m3fn before w2,1024,1.079103946685791,1.0016169559955597,0.998447984457016,0.9892479777336121,8,8192,torch.bfloat16,0.9939135789871216,1.0047935485839843,aligned dtype family; fuller scripted pipeline is not the same fused surface as FlashInfer,100,torch.float32,w13_torch_swiglu_fixed_fp8_quant_w2_triton_combine_cuda_events_no_graph,torch.bfloat16,0.013149473671309047,206.47888865248672,1,20,mxfp4_e2m1_group32,ue8m0_style_uint8_or_float8e8m0,humming_random_fill_tensor_then_transform,humming_internal_transformed_layout,deterministic_token_mod_expert,all_ones,false,"activation_scale_policy,router_semantics,weight_generation,weight_layout,intermediate_dtype_flow,timed_scope,cache_policy,accumulation_visibility"
float32 when use_f16_accum=False,fp8_e4m3,"ops.quant_input(..., float8e4m3, group_size=0) for both input and activated intermediate",16384,inclusionai_humming_main_indexed_fuller_pipeline,pr3516_full_moe_t16384,4096,BF16 SwiGLU activation is quantized to torch.float8_e4m3fn before w2,1024,1.9572800397872925,1.9370067167282103,1.9379519820213318,1.9152319431304932,8,16384,torch.bfloat16,1.9306816101074218,1.9438463687896728,aligned dtype family; fuller scripted pipeline is not the same fused surface as FlashInfer,100,torch.float32,w13_torch_swiglu_fixed_fp8_quant_w2_triton_combine_cuda_events_no_graph,torch.bfloat16,0.008494832831427908,212.7590694924976,1,20,mxfp4_e2m1_group32,ue8m0_style_uint8_or_float8e8m0,humming_random_fill_tensor_then_transform,humming_internal_transformed_layout,deterministic_token_mod_expert,all_ones,false,"activation_scale_policy,router_semantics,weight_generation,weight_layout,intermediate_dtype_flow,timed_scope,cache_policy,accumulation_visibility"
