routine,median_time,std_time,tflops,tb_per_sec,backend,resolved_backend,s_qo,s_kv,head_dim_qk,head_dim_vo,head_dim_ckv,head_dim_kpe,causal,q_dtype,kv_dtype,avg_actual_seq_len,random_actual_seq_len,n,group_size,tile_size,scale_major_mode,mma_sm,use_128x4_sf_layout,use_nvfp4,bias,num_tokens,intermediate_size,num_experts,top_k,n_group,topk_group,routed_scaling_factor,local_expert_offset,local_num_experts,routing_method,use_shuffled_weight,weight_layout,use_routing_bias,use_routing_scales_on_input,weight_dtype,activation_type,fp4_mode,cutlass_variant,quantized_input,tp_size,tp_rank,ep_size,ep_rank,num_tokens,num_experts,top_k,ep_size,max_num_tokens,num_tokens,ar_backend,pattern,layout_code,local_bs,op_name,mode_name,local_tp_size,local_dp_size,inter_tp_size,inter_dp_size,num_heads,scale,eps,use_global_scale,dit_mode,alignment,global_scale,sf_layout,do_shuffle,sf_vec_size,vocab_size,top_k,top_p,min_p,temperature,num_speculate_tokens,filter_apply_order,max_len,num_rows,seq_len,head_dim,rotary_dim,no_rope_dim,rope_theta,rope_scale,interleave,kv_layout,nheads,dim,dstate,ngroups,cache_steps,state_dtype,weight_dtype,has_z,dt_softplus,batch_size,hidden_size,input_dtype,out_dtype,quant_dtype,m,k,num_qo_heads,num_kv_heads,page_size,enable_pdl,is_sf_swizzled_layout,refcheck,no_cuda_graph,use_cupti,allow_output_mismatch,random_seed,case_tag,generate_repro_command,repro_command
cutlass_fused_moe,0.7807199954986572,0.024335007145624678,66.01548295055629,0.10073163292016037,cutlass,,,,,,,,,,,,,,,,,,,,,2048,1024,8,1,,,,,,,False,0,,False,mxfp4,Swiglu,mxfp4_fp8,mxfp4_fp8,False,1,0,1,0,2048,8,1,1,,2048,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,mxfp4,,,,4096,torch.bfloat16,,,,,,,,,,False,True,True,False,42,pr3516_full_moe_t2048_pr3349,True,python3 flashinfer_benchmark.py --routine cutlass_fused_moe --num_tokens 2048 --hidden_size 4096 --intermediate_size 1024 --num_experts 8 --top_k 1 --cutlass_variant mxfp4_fp8 --input_dtype bfloat16 --no_cuda_graph --num_iters 100 --dry_run_iters 20 --generate_repro_command -vv --case_tag pr3516_full_moe_t2048_pr3349
cutlass_fused_moe,2.8545279502868652,0.01723736154189499,72.22154899106249,0.05399865570925997,cutlass,,,,,,,,,,,,,,,,,,,,,8192,1024,8,1,,,,,,,False,0,,False,mxfp4,Swiglu,mxfp4_fp8,mxfp4_fp8,False,1,0,1,0,8192,8,1,1,,8192,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,mxfp4,,,,4096,torch.bfloat16,,,,,,,,,,False,True,True,False,42,pr3516_full_moe_t8192_pr3349,True,python3 flashinfer_benchmark.py --routine cutlass_fused_moe --num_tokens 8192 --hidden_size 4096 --intermediate_size 1024 --num_experts 8 --top_k 1 --cutlass_variant mxfp4_fp8 --input_dtype bfloat16 --no_cuda_graph --num_iters 100 --dry_run_iters 20 --generate_repro_command -vv --case_tag pr3516_full_moe_t8192_pr3349
cutlass_fused_moe,5.65556788444519,0.029060515447400327,72.904590456781,0.04505364858245286,cutlass,,,,,,,,,,,,,,,,,,,,,16384,1024,8,1,,,,,,,False,0,,False,mxfp4,Swiglu,mxfp4_fp8,mxfp4_fp8,False,1,0,1,0,16384,8,1,1,,16384,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,mxfp4,,,,4096,torch.bfloat16,,,,,,,,,,False,True,True,False,42,pr3516_full_moe_t16384_pr3349,True,python3 flashinfer_benchmark.py --routine cutlass_fused_moe --num_tokens 16384 --hidden_size 4096 --intermediate_size 1024 --num_experts 8 --top_k 1 --cutlass_variant mxfp4_fp8 --input_dtype bfloat16 --no_cuda_graph --num_iters 100 --dry_run_iters 20 --generate_repro_command -vv --case_tag pr3516_full_moe_t16384_pr3349
