accumulation_dtype,activation_compute_dtype,activation_quantization,active_token_expert_pairs,backend,case_tag,hidden_size,intermediate_dtype,intermediate_size,max_time_ms,mean_time_ms,median_time_ms,min_time_ms,num_experts,num_tokens,output_dtype,p20_time_ms,p80_time_ms,precision_alignment_status,raw_backend,repeat,reported_tb_per_sec,reported_tflops,routing_weight_dtype,scope,source_activation_dtype,std_time_ms,tflops,top_k,warmup,weight_format,weight_scale_dtype,weight_generation,weight_scale_layout,router_source,router_weight_semantics,strict_precision_equivalent_to_other_backends,non_equivalent_axes
cutlass_sm90_mxfp4_fp8_kernel_internal,fp8_e4m3,benchmark routine uses quantize_fp8 and passes dequant scales to CUTLASS mxfp4_fp8,2048,flashinfer_pr3349_cutlass_fused_moe_mxfp4_fp8,pr3516_full_moe_t2048,4096,CUTLASS mxfp4_fp8 path quantizes the hidden activation for the second GEMM,1024,,,0.7807199954986572,,8,2048,torch.bfloat16,,,"aligned dtype family; timed scope, cold-L2 policy, routing/data generation are benchmark-routine owned",cutlass,100,0.10073163292016037,66.01548295055629,torch.float32,full_cutlass_fused_moe_source_jit_cuda_events_no_graph,torch.bfloat16,0.024335007145624678,66.01548295055629,1,20,mxfp4_e2m1_group32,ue8m0_style_uint8_or_float8e8m0,benchmark_bf16_random_then_mxfp4_quantized,sm90_interleaved_int32_view,benchmark_routine_router_logits_softmax_topk,normalized_softmax_topk_weight,false,"activation_scale_policy,router_semantics,weight_generation,weight_layout,intermediate_dtype_flow,timed_scope,cache_policy,accumulation_visibility"
cutlass_sm90_mxfp4_fp8_kernel_internal,fp8_e4m3,benchmark routine uses quantize_fp8 and passes dequant scales to CUTLASS mxfp4_fp8,8192,flashinfer_pr3349_cutlass_fused_moe_mxfp4_fp8,pr3516_full_moe_t8192,4096,CUTLASS mxfp4_fp8 path quantizes the hidden activation for the second GEMM,1024,,,2.8545279502868652,,8,8192,torch.bfloat16,,,"aligned dtype family; timed scope, cold-L2 policy, routing/data generation are benchmark-routine owned",cutlass,100,0.05399865570925997,72.22154899106249,torch.float32,full_cutlass_fused_moe_source_jit_cuda_events_no_graph,torch.bfloat16,0.01723736154189499,72.22154899106249,1,20,mxfp4_e2m1_group32,ue8m0_style_uint8_or_float8e8m0,benchmark_bf16_random_then_mxfp4_quantized,sm90_interleaved_int32_view,benchmark_routine_router_logits_softmax_topk,normalized_softmax_topk_weight,false,"activation_scale_policy,router_semantics,weight_generation,weight_layout,intermediate_dtype_flow,timed_scope,cache_policy,accumulation_visibility"
cutlass_sm90_mxfp4_fp8_kernel_internal,fp8_e4m3,benchmark routine uses quantize_fp8 and passes dequant scales to CUTLASS mxfp4_fp8,16384,flashinfer_pr3349_cutlass_fused_moe_mxfp4_fp8,pr3516_full_moe_t16384,4096,CUTLASS mxfp4_fp8 path quantizes the hidden activation for the second GEMM,1024,,,5.65556788444519,,8,16384,torch.bfloat16,,,"aligned dtype family; timed scope, cold-L2 policy, routing/data generation are benchmark-routine owned",cutlass,100,0.04505364858245286,72.904590456781,torch.float32,full_cutlass_fused_moe_source_jit_cuda_events_no_graph,torch.bfloat16,0.029060515447400327,72.904590456781,1,20,mxfp4_e2m1_group32,ue8m0_style_uint8_or_float8e8m0,benchmark_bf16_random_then_mxfp4_quantized,sm90_interleaved_int32_view,benchmark_routine_router_logits_softmax_topk,normalized_softmax_topk_weight,false,"activation_scale_policy,router_semantics,weight_generation,weight_layout,intermediate_dtype_flow,timed_scope,cache_policy,accumulation_visibility"
