accumulation_dtype,activation_compute_dtype,activation_quantization,active_token_expert_pairs,backend,case_tag,hidden_size,intermediate_dtype,intermediate_size,max_time_ms,mean_time_ms,median_time_ms,min_time_ms,num_experts,num_tokens,output_dtype,p20_time_ms,p80_time_ms,precision_alignment_status,repeat,routing_weight_dtype,scope,source_activation_dtype,std_time_ms,tflops,top_k,warmup,weight_format,weight_scale_dtype,weight_generation,weight_scale_layout,router_source,router_weight_semantics,strict_precision_equivalent_to_other_backends,non_equivalent_axes
float32,fp8_e4m3,input is cast internally to torch.float8_e4m3fn without an explicit external scale,2048,flashinfer_pr3516_cutedsl_w4a8_mxfp4_moe,pr3516_full_moe_t2048,4096,GEMM1 output is torch.float8_e4m3fn before GEMM2,1024,0.9232640266418457,0.6709734398126602,0.6572960019111633,0.6431999802589417,8,2048,torch.bfloat16,0.6513151764869689,0.6664000034332276,aligned dtype family; activation scale policy differs from PR3349/Humming,100,torch.float32,full_moe_pr3516_body_shape_cuda_events_no_graph,torch.bfloat16,0.05289217815798328,78.41156404746522,1,20,mxfp4_e2m1_group32,ue8m0_style_uint8_or_float8e8m0,random_fp4_codes_and_uint8_scales,"natural_[E, rows, K/32]",deterministic_token_mod_expert,all_ones,false,"activation_scale_policy,router_semantics,weight_generation,weight_layout,intermediate_dtype_flow,timed_scope,cache_policy,accumulation_visibility"
float32,fp8_e4m3,input is cast internally to torch.float8_e4m3fn without an explicit external scale,8192,flashinfer_pr3516_cutedsl_w4a8_mxfp4_moe,pr3516_full_moe_t8192,4096,GEMM1 output is torch.float8_e4m3fn before GEMM2,1024,4.161312103271484,1.5534134364128114,1.4777119755744934,1.4651520252227783,8,8192,torch.bfloat16,1.4722752094268798,1.4851839542388916,aligned dtype family; activation scale policy differs from PR3349/Humming,100,torch.float32,full_moe_pr3516_body_shape_cuda_events_no_graph,torch.bfloat16,0.4215365499368275,139.5119168116989,1,20,mxfp4_e2m1_group32,ue8m0_style_uint8_or_float8e8m0,random_fp4_codes_and_uint8_scales,"natural_[E, rows, K/32]",deterministic_token_mod_expert,all_ones,false,"activation_scale_policy,router_semantics,weight_generation,weight_layout,intermediate_dtype_flow,timed_scope,cache_policy,accumulation_visibility"
float32,fp8_e4m3,input is cast internally to torch.float8_e4m3fn without an explicit external scale,16384,flashinfer_pr3516_cutedsl_w4a8_mxfp4_moe,pr3516_full_moe_t16384,4096,GEMM1 output is torch.float8_e4m3fn before GEMM2,1024,4.8961920738220215,2.5925040006637574,2.556879997253418,2.537600040435791,8,16384,torch.bfloat16,2.55053448677063,2.5665408611297607,aligned dtype family; activation scale policy differs from PR3349/Humming,100,torch.float32,full_moe_pr3516_body_shape_cuda_events_no_graph,torch.bfloat16,0.25607900013050033,161.2578067249569,1,20,mxfp4_e2m1_group32,ue8m0_style_uint8_or_float8e8m0,random_fp4_codes_and_uint8_scales,"natural_[E, rows, K/32]",deterministic_token_mod_expert,all_ones,false,"activation_scale_policy,router_semantics,weight_generation,weight_layout,intermediate_dtype_flow,timed_scope,cache_policy,accumulation_visibility"
